Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2017-02-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;2;null;null;null;null;null;
2017-03-31;9;31,8;1009,9;25,9;9,1;3,4;
2017-04-30;14;71,2;1011,8;24,2;7,2;2,7;
2017-05-31;13;162,4;1013,6;22,2;6,4;2,5;
2017-06-30;10;106;1015,7;22,2;6,9;2,7;
2017-07-31;26;207;1021,1;19,8;8,1;null;
2017-08-31;7;12;1016;20,3;null;null;
2017-09-30;16;32,8;1018;21,3;null;null;
2017-10-31;9;54;1011,7;24;9,3;4,3;
2017-11-30;19;187;1009,7;23,4;9,7;3,6;
2017-12-31;12;174,6;1008,3;24,9;8,5;3,3;
2018-01-31;10;62,8;1008,9;26,3;8,7;3,8;
2018-02-28;13;173,6;1008,7;25,3;8;3;
2018-03-31;16;154,6;1008,3;25,8;7,3;2,4;
2018-04-30;23;189,2;1012,9;23,8;5,9;2,1;
2018-05-31;17;213,2;1014,5;22,1;7,4;2,3;
2018-06-30;14;42,6;1015,6;22;6,9;2,6;
2018-07-31;3;3,2;1015,8;21,4;7,4;2,6;
2018-08-31;17;128,4;1016;21,3;7,7;2,5;
2018-09-30;6;46,6;1012,3;22,8;9,2;3,3;
2018-10-31;13;139,4;1010,7;23,6;9,2;3,5;
2018-11-30;14;293,2;1010,9;24,2;8,8;3;
2018-12-31;11;118,6;1009,4;25,3;8;3,4;
2019-01-31;2;,6;1011,2;27,2;8,7;4,2;
2019-02-28;9;118,6;1008,2;27,2;8,6;3,2;
2019-03-31;9;38,4;1010;26,9;8,2;2,8;
2019-04-30;11;50,6;1009,9;25,9;7,8;2,5;
2019-05-31;6;217;1011,4;24,3;5,8;2,2;
2019-06-30;14;36,6;1016,3;22,5;9;2,4;
2019-07-31;10;40,2;1016,2;21;null;null;
2019-08-31;15;52,6;1018,3;21;7,8;2,9;
2019-09-30;9;89,4;1014,3;23;9,1;3,7;
2019-10-31;9;29;1011,7;24,2;9,7;3,7;
2019-11-30;5;null;null;25,6;9,2;null;
2019-12-31;null;null;null;null;8,9;null;

