Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2017-08-31
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;
2017-09-30;3;null;765;9,3;9,6;2,5;
2017-10-31;15;159,2;763,5;11,7;11,3;3,3;
2017-11-30;22;276,4;761,3;10,9;11,1;null;
2017-12-31;26;242;761,7;12,2;null;null;
2018-01-31;28;483,8;762,9;12,5;null;null;
2018-02-28;25;214;762,3;12;8,4;null;
2018-03-31;26;336,4;762,9;12,8;null;null;
2018-04-30;22;42,8;764,4;9,7;null;null;
2018-05-31;14;50,6;764,5;7,8;null;null;
2018-06-30;14;56,6;765,3;7,6;null;null;
2018-07-31;12;28,2;765,1;6,9;9,5;2,7;
2018-08-31;17;117,6;764,8;7,9;11,9;3;
2018-09-30;16;130;762,9;9,8;13;3,1;
2018-10-31;26;175,4;763;11,9;12,7;2,9;
2018-11-30;22;null;762,8;11,3;9,4;3;
2018-12-31;23;279,8;763;12,3;6,9;2,4;
2019-01-31;28;197,4;765,4;13,6;null;null;
2019-02-28;23;308,4;762,2;12,9;10,6;null;
2019-03-31;29;342,6;763,2;12,1;8,4;2,4;
2019-04-30;19;137,8;762,7;11,3;8,1;2,4;
2019-05-31;17;106,2;762,2;9,8;14,3;2,7;
2019-06-30;16;34,4;763,9;7,8;9,9;3,3;
2019-07-31;7;82,6;761,4;6,6;13,9;3,1;
2019-08-31;15;58,4;764,9;8,3;7,6;2,8;
2019-09-30;12;159,2;763,1;11,3;12,5;2,7;
2019-10-31;16;232,4;762,8;11,8;7,1;2,4;
2019-11-30;25;264,6;761,5;12,1;11,2;2,9;
2019-12-31;24;300;761,5;12,2;8,8;2,9;

