Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2017-08-09
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;6;null;null;19,4;4,8;null;
2017-09-30;4;7,2;null;21,7;4,1;1;
2017-10-31;12;103,8;null;23,6;4,2;1;
2017-11-30;15;148,8;null;23,6;6,1;1;
2017-12-31;16;69,8;null;24,9;4,1;,9;
2018-01-31;15;238,6;1010;25,9;3,5;,8;
2018-02-28;15;189,4;1010,4;25,2;3,8;,7;
2018-03-31;12;131,6;1010;25,8;4,4;,8;
2018-04-30;9;85,8;1015,1;23,4;4;,7;
2018-05-31;5;26,2;1016,7;21,4;4;,7;
2018-06-30;13;84,6;1017,2;20,6;3,4;,6;
2018-07-31;7;23,4;1017,2;20,5;3,6;,7;
2018-08-31;9;61,2;1018,1;19,8;5,3;,7;
2018-09-30;10;60,8;1013,8;22;3,9;1;
2018-10-31;17;126,2;1012,3;23,1;7,7;,9;
2018-11-30;17;286,6;1012,2;24;5;,9;
2018-12-31;8;58,8;1010,8;25,2;4,5;,9;
2019-01-31;5;36,4;1011,2;27,8;4,4;1;
2019-02-28;17;334;1009,8;26,1;7,1;,9;
2019-03-31;19;316,2;1012,1;25,5;3,4;,7;
2019-04-30;7;214;1011,7;24,8;6,3;,7;
2019-05-31;10;106;1013,2;23,1;3,9;,6;
2019-06-30;14;94;1017,8;21,4;3,9;,6;
2019-07-31;10;40;1017,7;19,4;3,6;,7;
2019-08-31;14;106;1019,9;19,9;5,7;,8;
2019-09-30;14;119,2;1015,5;21,9;4,5;,9;
2019-10-31;9;51,6;1012,6;23,8;3,6;,9;
2019-11-30;12;154;1011,3;23,5;3,7;,8;
2019-12-31;15;118,4;1010,5;24,9;4,1;,9;

