Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2007-05-17
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;5;null;null;null;null;null;
2007-06-30;8;42,4;1014,1;22,3;14,7;2,4;
2007-07-31;11;91,6;1014,5;21,3;15;3,3;
2007-08-31;9;28,4;1016,1;21,1;13,6;3,4;
2007-09-30;5;14;1015,4;21,3;14,9;3,5;
2007-10-31;9;145,4;1010,9;21,3;13,2;3,1;
2007-11-30;14;null;1007,8;23,4;12,6;3,4;
2007-12-31;15;192,4;1007,2;25,1;10,4;2,9;
2008-01-31;16;175,4;1007,9;24,5;11,9;2,4;
2008-02-29;19;83,8;1008;24,7;10,6;2,1;
2008-03-31;12;188,4;1008,3;24,4;11,2;2,3;
2008-04-30;14;41,6;1008,2;24,3;16,2;2,6;
2008-05-31;8;86,4;1012,6;22,4;13,2;2,5;
2008-06-30;12;122;1014,6;21,7;11,8;2,8;
2008-07-31;6;25,2;1016,4;21,4;13,1;2,4;
2008-08-31;11;95,2;1013,1;22,2;12,8;3,5;
2008-09-30;17;184,4;1013,8;21,2;14,5;3,7;
2008-10-31;16;121,4;1012,1;21,9;13,6;3,4;
2008-11-30;23;256,4;1009,9;22,1;13,5;3;
2008-12-31;16;171;1007,4;22,7;14,3;2,8;
2009-01-31;24;203,8;1007,8;25,4;14;2,8;
2009-02-28;9;82;1007,7;26,2;16,4;2,3;
2009-03-31;14;113,6;1007,8;26,4;12;2,2;
2009-04-30;18;168;1011,2;24,1;11,4;2,4;
2009-05-31;20;79,2;1012,2;23,6;10,4;2,6;
2009-06-30;16;114,4;1014,4;21,2;11,6;3,1;
2009-07-31;25;67,8;1014,2;21,2;15,7;3,5;
2009-08-31;15;127,2;1014,4;21,8;17,2;3,4;
2009-09-30;17;86,4;1011,7;22,8;17,2;3,2;
2009-10-31;12;22,2;1009,4;22,9;15,5;4,1;
2009-11-30;12;77,2;1006,2;26,7;12,3;2,8;
2009-12-31;19;397,6;1006,8;25,6;13,2;2,7;
2010-01-31;11;188,4;1007,7;28,2;11,1;2,4;
2010-02-28;13;17,8;1008,2;27,3;12,8;2,4;
2010-03-31;27;210;1007,9;25,6;11,9;2;
2010-04-30;21;385,8;1011,4;24,6;13,4;3,1;
2010-05-31;7;null;null;null;12,1;null;
2010-06-30;10;38,6;1016;21,1;11;2,5;
2010-07-31;8;119,4;1016,4;22;13,6;3,3;
2010-08-31;6;9;1015,9;21,3;18,1;3,2;
2010-09-30;10;46,6;1013;21,8;17,2;3,4;
2010-10-31;13;92;1010,3;22,1;14,9;3,6;
2010-11-30;16;78;1007,4;23,4;10,1;2,5;
2010-12-31;13;213;1004,7;26,2;11,7;2,6;
2011-01-31;18;85,2;1005,5;26,6;12;2;
2011-02-28;7;24,2;1007,4;25,9;9,9;1,9;
2011-03-31;28;40,6;1008,6;24,1;9,3;1,6;
2011-04-30;21;41,8;1010,8;25,2;10,4;2,1;
2011-05-31;23;83,8;1013,1;22,3;12,4;2,1;
2011-06-30;6;null;1014;20,9;11,3;2,5;
