Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.64
Situacao: Operante
Data Inicial: 2006-07-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;4;null;null;null;null;null;
2006-08-31;4;6,4;928,1;18,4;6,1;2;
2006-09-30;7;71,2;927,5;18,3;6,7;2,5;
2006-10-31;15;95,8;925,6;19,7;5,7;2,3;
2006-11-30;17;219,4;924,6;20,6;6,1;2,5;
2006-12-31;21;290,4;924,6;22,2;9,2;2,6;
2007-01-31;19;212,2;923,5;22,3;6,7;1,8;
2007-02-28;13;278,8;924,9;23,3;5,3;2,1;
2007-03-31;13;178,2;926;23,8;5,8;1,9;
2007-04-30;12;118,6;927,4;21,5;5,6;2,1;
2007-05-31;11;59,2;928,1;17,5;6,3;2,1;
2007-06-30;6;30,6;929,2;18,4;6,7;1,7;
2007-07-31;12;144,4;929;16,1;7,2;2;
2007-08-31;0;0;930,3;18,1;5,3;2,1;
2007-09-30;4;17;929,7;20,1;5,7;2,3;
2007-10-31;13;104,8;926,1;20,8;7,8;2,2;
2007-11-30;18;201,6;924,1;20,2;6,5;2,6;
2007-12-31;15;219,6;923,7;22,2;6,3;2;
2008-01-31;19;304,4;924,1;21,2;5,9;2,5;
2008-02-29;18;226,6;924,4;22,3;6,5;2,1;
2008-03-31;18;173,4;924,9;21,7;6,5;2,2;
2008-04-30;12;94,2;924,6;20,8;7;1,9;
2008-05-31;7;74,8;927,9;17,5;6,2;2;
2008-06-30;10;73;929,2;16,7;6,7;2;
2008-07-31;1;,2;930,8;17,3;4,6;1;
2008-08-31;10;73,2;928,2;18,6;5;1,2;
2008-09-30;15;39,6;928,3;17,7;5,8;2,5;
2008-10-31;13;161,6;927,3;20,5;6,9;2,4;
2008-11-30;14;null;924,5;20,3;6,7;2,7;
2008-12-31;15;214,2;923,4;20,9;6,5;2,2;
2009-01-31;22;323;924,5;21,9;6,6;2,5;
2009-02-28;17;194,8;924,6;23,2;6,9;1,9;
2009-03-31;13;121;924,6;23;5,9;2,1;
2009-04-30;11;69;927,2;20,2;5,4;2;
2009-05-31;8;50,8;927,7;19,1;5,6;1,9;
2009-06-30;8;51,8;929,2;15,5;5,5;1,9;
2009-07-31;16;180,6;929;16,5;5,9;1,7;
2009-08-31;10;98,6;929;18,1;5,8;2,2;
2009-09-30;17;187,4;927,3;19,6;7,4;2,2;
2009-10-31;14;154,4;925,2;19,6;9,5;2,3;
2009-11-30;16;178;923,3;23,7;6,5;2,4;
2009-12-31;18;350;923,6;22,2;6,4;2,3;
2010-01-31;28;482,2;925,1;23,5;7,4;1,9;
2010-02-28;15;288,2;925,5;24,5;8,1;2,1;
2010-03-31;17;182,4;924,7;22,7;7,1;2,3;
2010-04-30;11;118,2;927,8;20,4;6,3;2,3;
2010-05-31;14;64,8;927,2;18,3;6,7;2;
2010-06-30;8;15;930,7;16,6;5,2;2,1;
2010-07-31;7;88,6;931;18,2;5,4;2,1;
2010-08-31;5;1,4;930,6;17,3;7,3;2,1;
2010-09-30;10;96;927,7;19,4;5,7;2,3;
2010-10-31;14;70;925,6;18,4;7,7;2,5;
2010-11-30;12;105,6;923,1;20,8;6,6;2,4;
2010-12-31;20;321,2;921,9;22,5;5,6;2,2;
2011-01-31;21;485,2;922,6;23,5;6,2;1,8;
2011-02-28;18;286,8;924,5;24;5,6;1,8;
2011-03-31;14;153;925,2;21,4;4,9;2,3;
2011-04-30;12;127;927;21,2;5,8;1,9;
2011-05-31;8;26,2;928,7;17,4;4,6;1,9;
2011-06-30;8;76,8;928,6;15,8;8,2;1,6;
2011-07-31;2;4,6;929,1;17,3;5,4;1,6;
2011-08-31;10;49,2;928,5;18,1;8,4;2,2;
2011-09-30;3;4,2;929,8;18;6;2,5;
2011-10-31;15;141;925,2;20,1;6,1;2,4;
2011-11-30;7;133,2;925,1;19,6;6,2;2,4;
2011-12-31;16;137,4;923,4;21,8;6,7;2,2;
2012-01-31;22;317,4;924,7;21;6,2;1,9;
2012-02-29;17;222,6;925,1;24,1;8,1;1,6;
2012-03-31;11;179;926,1;22,2;5,8;2;
2012-04-30;12;154,4;926,1;20,9;7,7;1,9;
2012-05-31;11;71;929,4;17,8;6,9;1,7;
2012-06-30;12;219;929;17,5;5,9;1,4;
2012-07-31;8;68,8;929,5;17,5;5,6;1,4;
2012-08-31;2;,6;932,4;18,7;5,7;2;
2012-09-30;5;19,6;929;20;7;2,3;
2012-10-31;12;125,8;925,8;21,9;5,1;,9;
2012-11-30;14;97;924,3;20,5;4,9;2,2;
2012-12-31;20;381,4;923,8;24,1;6,6;1,7;
2013-01-31;21;164,6;925,2;21,5;5,4;2;
2013-02-28;20;271,2;925,3;23;10,5;1,8;
2013-03-31;20;176,4;926,2;21,8;5,8;2,1;
2013-04-30;9;70,8;927,6;19,8;5,8;1,8;
2013-05-31;9;43,8;928,1;18,6;5,6;1,6;
2013-06-30;11;139,4;928,7;18;6,3;1,3;
2013-07-31;10;61,6;930,6;16,6;7,2;1,5;
2013-08-31;5;8,2;929,4;17,7;7,4;2;
2013-09-30;12;80;928,3;18,9;5,9;1,9;
2013-10-31;13;124,2;927,1;19,5;5,5;2,1;
2013-11-30;15;120;925,2;21,3;7,6;2,2;
2013-12-31;7;79,8;922,9;23;6;2,4;
2014-01-31;16;223;926,2;25;6;1,9;
2014-02-28;14;188,8;925,5;25,3;5,1;1,8;
2014-03-31;18;212,6;926,3;22,7;6,1;2;
2014-04-30;8;77,2;927,6;20,8;5,3;1,9;
2014-05-31;6;50,2;928,2;18,6;7,4;1,7;
2014-06-30;5;9,8;929,4;18,4;6;1,7;
2014-07-31;4;null;null;17,4;5,5;null;
2014-08-31;6;31,6;930,3;18,2;6,2;1,8;
2014-09-30;12;60,6;927,8;20,2;5,8;2,2;
2014-10-31;8;25;927,8;21,3;6,2;2,4;
2014-11-30;13;119,6;925,1;21,3;5,2;2,2;
2014-12-31;15;207,8;925,1;23,1;5,9;2,1;
2015-01-31;19;158,4;926,3;25,1;6,5;1,9;
2015-02-28;17;268,4;925,3;23,2;5;1,8;
2015-03-31;19;327,8;926;21,9;5,1;1,7;
2015-04-30;9;105,4;927,2;20,7;5,3;2,1;
2015-05-31;10;50,8;928,9;18,5;5,2;1,9;
2015-06-30;9;21,2;931,3;17,9;8,3;1,7;
2015-07-31;11;66,8;929,8;17,9;6,2;1,6;
2015-08-31;7;30,8;929,8;19,9;6,2;1,6;
2015-09-30;13;202,4;926,4;20,9;7,3;1,8;
2015-10-31;11;90,6;927;21,8;5,5;2,3;
2015-11-30;22;253;924,3;22,1;6,6;1,8;
2015-12-31;21;315;925,5;23,2;7,5;2;
2016-01-31;18;181,8;924,4;22,8;5,7;2,2;
2016-02-29;15;null;925,9;24;6,6;1,8;
2016-03-31;16;249,8;927;22,9;6,1;1,9;
2016-04-30;3;2,4;927,1;23,6;7,4;1,6;
2016-05-31;11;106,4;929,3;17,9;6;1,8;
2016-06-30;12;197,6;930,9;15,3;5,4;1,3;
2016-07-31;2;6,4;929,9;17,6;8,5;1,9;
2016-08-31;7;84;928,9;17,9;6,8;1,8;
2016-09-30;6;22,2;928,6;18,4;6,3;2,3;
2016-10-31;14;103,2;926,2;20,3;6,8;2,3;
2016-11-30;19;174,2;925,2;20,6;5,4;2,2;
2016-12-31;14;163;924,7;23,1;7;2,1;
2017-01-31;24;485,8;925,2;23,1;9,1;1,9;
2017-02-28;12;130,4;925,3;24,4;5;2;
2017-03-31;14;156,2;926,4;22,1;5,8;2,2;
2017-04-30;13;139;927,7;20,1;5,8;2,2;
2017-05-31;7;null;928,5;18,9;6,7;1,8;
2017-06-30;9;99,2;930,3;17,7;6,7;1,8;
2017-07-31;4;1,4;934,4;16,4;5,2;1,9;
2017-08-31;9;61,8;929,5;17,3;6,8;2,1;
2017-09-30;2;12,8;929,9;21,3;5,9;2;
2017-10-31;15;146,4;925,8;21,3;7,5;2,4;
2017-11-30;17;163,2;924,2;20,6;7,2;2,4;
2017-12-31;16;153,8;923,8;22,4;7,5;2,2;
2018-01-31;24;256,8;924,8;22,6;8,2;2,1;
2018-02-28;13;104,2;925;22,1;6,3;2,1;
2018-03-31;18;229,6;924,6;23,5;6,2;1,7;
2018-04-30;6;27,6;928,6;21,1;5,1;1,9;
2018-05-31;3;11,6;929,5;19,1;6,5;1,9;
2018-06-30;9;14,8;930,1;18,5;4,9;1,6;
2018-07-31;2;23,2;930;18,5;5;1,4;
2018-08-31;10;48,6;930,1;17;7,6;2;
2018-09-30;12;72,8;926,7;19,1;6,1;2,2;
2018-10-31;23;120,4;925,8;19,8;6,7;2,2;
2018-11-30;17;105,8;925,7;20,8;6,6;2,3;
2018-12-31;19;192;925,3;23,3;5,6;1,9;
2019-01-31;22;319,2;926,7;25,1;10,9;1,6;
2019-02-28;17;320,4;924,9;23,1;6,3;1,9;
2019-03-31;19;231;926,9;22,6;5,8;1,7;
2019-04-30;11;142,6;926,3;22,2;6,5;1,5;
2019-05-31;14;53;927,3;20,4;6,5;1,5;
2019-06-30;5;39,4;930,9;19;6;1,3;
2019-07-31;6;148;930,3;17;6;1,4;
2019-08-31;9;5;932;17,6;5,5;1,9;
2019-09-30;11;76,6;928,5;19,9;5,1;1,9;
2019-10-31;7;45,8;926,3;22,1;4,9;2;
2019-11-30;10;111;924,8;21,3;4,9;2,3;
2019-12-31;15;260;924,7;22,4;6,6;2;

