Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.29
Situacao: Operante
Data Inicial: 2006-09-03
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;null;null;null;null;null;
2006-10-31;null;null;null;null;null;null;
2006-11-30;null;null;null;null;null;null;
2006-12-31;null;null;null;null;null;null;
2007-01-31;null;null;null;null;null;null;
2007-02-28;null;null;null;null;null;null;
2007-03-31;null;null;null;null;null;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;8;null;null;15,4;7,3;null;
2007-08-31;0;0;922,6;19,3;7,2;2,8;
2007-09-30;2;,6;921,8;22,1;8;3;
2007-10-31;6;57;918,4;23,5;9;2,7;
2007-11-30;11;null;916,3;21,4;6,5;2,8;
2007-12-31;14;131;916,5;22,8;6,3;2,4;
2008-01-31;20;182,8;916,7;21,7;8,5;2,6;
2008-02-29;15;183,2;917,5;22,5;6,2;2;
2008-03-31;17;177,6;917,7;21,6;6,4;2,3;
2008-04-30;17;98,8;917,6;20,6;5,4;2;
2008-05-31;5;31,6;920,8;17,2;5,2;2;
2008-06-30;8;32,4;922,1;17,4;5,6;2;
2008-07-31;0;0;923,5;17,6;5,2;2,1;
2008-08-31;7;47,4;920,7;19,8;6,3;2,5;
2008-09-30;7;35,2;920,3;19,4;7,1;2,8;
2008-10-31;8;81,6;919,5;22,3;7,4;2,6;
2008-11-30;15;51,2;917;21,8;6,7;2,6;
2008-12-31;16;175,2;915,9;21,7;7,5;2;
2009-01-31;20;333,8;917,5;21,6;6,9;2,3;
2009-02-28;14;180,2;917,6;22,8;5,4;1,6;
2009-03-31;13;304;917,3;22,8;6,6;1,6;
2009-04-30;8;105,2;919,6;20,5;5,4;1,8;
2009-05-31;8;35,4;920,5;19;5,6;1,6;
2009-06-30;9;31,6;921,9;15,6;5,1;1,5;
2009-07-31;10;71;921,6;17,9;5,9;1,5;
2009-08-31;6;153,4;921,6;18,6;5,9;1,8;
2009-09-30;12;132,8;919,9;20,7;5,8;2,1;
2009-10-31;9;80,2;917,4;21,5;7,8;2,4;
2009-11-30;15;244,2;916,5;23,6;5,9;2,1;
2009-12-31;22;394,2;916,6;22,2;6,8;2;
2010-01-31;22;348,8;918,2;22,6;6,5;1,8;
2010-02-28;14;111,8;918,4;23,6;7,1;2;
2010-03-31;15;193,6;917,5;22,8;6;1,8;
2010-04-30;7;123,8;920,2;20,7;6,3;2,2;
2010-05-31;6;13;920,1;18,1;6;1,7;
2010-06-30;2;19;923,1;16,9;5,8;1,9;
2010-07-31;2;33,8;923,2;18,8;4,9;,8;
2010-08-31;0;0;922,6;18,9;5,2;,1;
2010-09-30;8;78;919,9;21,3;5,3;,5;
2010-10-31;12;87,2;917,8;20,8;7;,9;
2010-11-30;12;61,4;915,7;22,1;5,8;,9;
2010-12-31;21;151,8;914,6;23,2;5,6;,2;
2011-01-31;24;429,6;915,8;23,1;5,6;,6;
2011-02-28;19;336,8;917,6;23,2;5,4;,7;
2011-03-31;20;279,4;917,2;21,4;6,7;,6;
2011-04-30;12;88,6;919,6;21,1;5,3;,2;
2011-05-31;2;6;921;17,8;4,6;,8;
2011-06-30;6;44;921,3;16,2;8;,6;
2011-07-31;1;,2;921,7;18,5;4,3;,1;
2011-08-31;5;13,2;920,9;20;6,6;,7;
2011-09-30;4;13;921,5;21,1;6,8;1,3;
2011-10-31;12;175;917,7;21,1;6,5;1,3;
2011-11-30;11;131,6;917,3;21,1;6,6;1,2;
2011-12-31;15;227;916,1;22,3;5,1;,7;
2012-01-31;2;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;4;null;null;22;5,7;null;
2012-04-30;9;151,8;918,6;21,6;5,5;1,8;
2012-05-31;10;100,8;921,6;17,7;5,7;1,9;
2012-06-30;13;194;921,6;17,9;5,4;1,8;
2012-07-31;5;41,2;922,1;17,3;5,1;1,9;
2012-08-31;1;2,4;924,5;19,2;6,4;2,6;
2012-09-30;5;77,8;921,2;21,2;7,1;2,4;
2012-10-31;9;98,2;918;23,6;5,6;2,4;
2012-11-30;14;176,2;916,1;22,2;7;2,5;
2012-12-31;19;232,8;916,7;23,9;5,9;2;
2013-01-31;16;280,8;917,2;22;7,3;2,4;
2013-02-28;18;201;918;22,7;6,1;1,8;
2013-03-31;17;208,8;918,5;22,1;6,7;2,1;
2013-04-30;10;71,8;919,9;20,1;4,8;1,9;
2013-05-31;7;156;920,7;19;5,2;1,9;
2013-06-30;13;63;921,4;18,4;4,7;1,7;
2013-07-31;7;44,2;923;16,7;6,1;2;
2013-08-31;4;23,2;921,7;18,2;6,8;2,2;
2013-09-30;8;62,8;920,5;20,5;5,2;2,3;
2013-10-31;11;175,4;919;20,8;6,7;2,4;
2013-11-30;15;160,6;917,1;21,9;6,6;2,3;
2013-12-31;17;122,6;915,3;23,1;6,1;2,2;
2014-01-31;13;71,4;918,8;24,5;6,2;1,8;
2014-02-28;14;20,6;918,1;24,6;5,2;1,8;
2014-03-31;28;33,2;918,8;22,7;5,9;2;
2014-04-30;null;null;919,7;21,4;7,1;2,1;
2014-05-31;10;11;920,8;18,9;5,3;1,9;
2014-06-30;null;null;922,1;18,7;5,8;1,9;
2014-07-31;null;null;924,2;17,6;5,8;2,1;
2014-08-31;2;,4;922,4;19,9;6,8;2,1;
2014-09-30;11;21,8;920,1;21,8;7,4;2,6;
2014-10-31;4;57,8;919,5;23,3;7,5;2,6;
2014-11-30;15;193,2;917,2;22,4;5,1;2,2;
2014-12-31;16;296,2;917,7;22,5;5,3;2,2;
2015-01-31;17;127,6;918,9;24,7;8,2;1,7;
2015-02-28;19;209,2;918;22,6;6,9;1,8;
2015-03-31;21;222,8;918,5;21,6;5,5;1,6;
2015-04-30;6;48;919,3;21,3;5,2;1,8;
2015-05-31;12;59,2;921,5;18,5;5,1;1,9;
2015-06-30;6;23,2;923,7;18,2;5,7;1,9;
2015-07-31;12;73,4;922,5;18,4;4,6;1,8;
2015-08-31;2;9;922,2;20;8,3;2;
2015-09-30;11;163,6;918,7;22;7,2;2;
2015-10-31;8;46,6;918,6;24;9,3;2,3;
2015-11-30;18;268,4;916,7;22,9;5,7;1,7;
2015-12-31;20;159,4;918,3;23,1;5,8;1,8;
2016-01-31;22;458;916,3;22,7;5,7;2,2;
2016-02-29;16;191,4;918,6;23,9;6,1;1,6;
2016-03-31;null;null;null;null;4,8;null;
2016-04-30;3;null;null;21,7;4,6;null;
2016-05-31;9;151;922,1;18,5;5,6;1,6;
2016-06-30;9;118,4;923,7;16,5;5,2;1,2;
2016-07-31;1;2,6;922,8;18,2;5,6;1,5;
2016-08-31;6;50,6;921,5;19,3;6,4;2;
2016-09-30;7;26,8;920,7;20,8;6;2,1;
