Nome: SAO MIGUEL ARCANJO
Codigo Estacao: A715
Latitude: -23.89083333
Longitude: -47.99916666
Altitude: 710
Situacao: Pane
Data Inicial: 2006-08-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;2;null;null;15,4;9,2;null;
2006-09-30;13;105;940,9;16,9;8,1;3;
2006-10-31;19;31,4;938,5;19,3;10,2;3,2;
2006-11-30;18;3,8;937,3;20,3;7,1;3;
2006-12-31;20;4;937,3;22,2;8;3;
2007-01-31;10;2;936;22,2;8,3;2,8;
2007-02-28;4;39,8;937,5;22,8;6,2;2,6;
2007-03-31;22;96,8;938,7;23,1;11,3;2;
2007-04-30;12;43,4;940,2;21,1;8,6;2,6;
2007-05-31;14;37,2;941,3;16,8;7,5;2,4;
2007-06-30;8;13,8;941,9;16,7;7,8;1,9;
2007-07-31;9;null;942,4;14,7;8,4;2,4;
2007-08-31;4;4,6;942,7;16,9;9,2;2,8;
2007-09-30;13;6,8;942,1;19,5;9,5;3;
2007-10-31;6;21,8;938,7;20,7;10,9;3,5;
2007-11-30;16;119,2;936,9;19,9;9,1;3,4;
2007-12-31;11;140,8;936,4;22,3;7,9;2,7;
2008-01-31;18;null;937,1;21,4;7,9;2,9;
2008-02-29;13;null;937,1;22,1;10,3;2,4;
2008-03-31;11;44,4;938;21,6;6,9;2,6;
2008-04-30;17;null;937,2;19,8;8,5;2,2;
2008-05-31;10;null;null;16,8;5,9;null;
2008-06-30;11;null;941,7;16,2;6,8;2,1;
2008-07-31;18;4,6;943,8;15,9;6,9;1,8;
2008-08-31;7;null;940,9;18;6,9;2,6;
2008-09-30;6;null;941,2;17,2;7,6;3,3;
2008-10-31;9;null;939,4;20,7;9,6;3,2;
2008-11-30;10;31,4;937,8;19,9;7,7;3,4;
