Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Operante
Data Inicial: 2007-08-29
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;null;null;null;null;null;
2007-09-30;1;1;971,3;26,2;9,2;3,8;
2007-10-31;11;64,6;968,1;26,8;11,1;3,1;
2007-11-30;14;85,4;966,8;24,8;8,1;3,2;
2007-12-31;13;96,4;966,5;26,1;9,1;2,5;
2008-01-31;20;181,2;966,6;24,7;8,3;2,7;
2008-02-29;19;124,2;967,8;24,8;8,8;2;
2008-03-31;12;142,4;968,2;24,2;9,2;2;
2008-04-30;13;81,6;968,1;23,4;9,3;1,8;
2008-05-31;9;37,6;972,3;19,5;7,3;1,9;
2008-06-30;5;6,8;973,2;19,9;7,7;2;
2008-07-31;0;0;974;21,3;9,1;2,7;
2008-08-31;6;52,4;970,9;22,8;9,8;3,1;
2008-09-30;6;13,2;971,3;22,3;10,6;3,4;
2008-10-31;10;110,8;969,5;25,5;15,2;3,1;
2008-11-30;6;73;967,1;25,5;12,5;2,9;
2008-12-31;12;151,2;965,9;25,8;10,7;2,4;
2009-01-31;21;302,2;967,6;24,7;7,7;2,7;
2009-02-28;16;252,6;967,6;25,6;9,4;2;
2009-03-31;11;137,6;967,6;25,4;8,2;1,6;
2009-04-30;3;7,2;970,2;23,7;7,7;1,9;
2009-05-31;4;41,4;971,2;21,8;11,3;2,1;
2009-06-30;null;null;null;null;7,9;null;
2009-07-31;null;null;null;null;8;null;
2009-08-31;null;null;null;null;8,1;null;
2009-09-30;null;null;null;null;8,9;null;
2009-10-31;null;null;null;null;8,7;null;
2009-11-30;null;null;null;null;9,2;null;
2009-12-31;null;null;null;null;7,7;null;
2010-01-31;null;null;null;null;8,2;null;
2010-02-28;null;null;null;null;6,1;null;
2010-03-31;3;null;null;null;6,2;null;
2010-04-30;8;31,8;970,8;23,5;7,3;2,1;
2010-05-31;8;11,8;971,6;19,8;6,7;1,6;
2010-06-30;5;11,2;974,1;19,9;7,8;2,4;
2010-07-31;5;12,2;973,6;21,4;9,2;3,1;
2010-08-31;5;44,8;973,2;21,3;9,8;3;
2010-09-30;7;173,8;969,8;24,2;11,2;3,7;
