Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.94916666
Longitude: -46.5261111
Altitude: 891
Situacao: Operante
Data Inicial: 2017-12-19
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-12-31;8;null;null;null;null;null;
2018-01-31;23;325,6;914,6;22;6,2;1,8;
2018-02-28;9;135;914,4;21,8;6,1;2,1;
2018-03-31;16;151,8;914,2;23,1;5,2;1,4;
2018-04-30;5;20;917,9;20,5;5,9;1,6;
2018-05-31;2;20,4;918,8;18,5;7;1,6;
2018-06-30;4;8,2;919,4;18,1;5,8;1,4;
2018-07-31;1;17,2;919,4;17,8;5,2;1,2;
2018-08-31;9;80,4;919,3;17,1;7;2,1;
2018-09-30;8;65,4;915,9;19,4;6,1;2,1;
2018-10-31;21;212;915;20,3;9,4;2,2;
2018-11-30;17;192,4;914,9;20,8;6,1;2,1;
2018-12-31;11;98,8;914,8;22,8;5,3;1,7;
2019-01-31;17;187,6;916,5;24,2;7,8;1,4;
2019-02-28;18;182,6;914,6;22,6;6,2;1,6;
2019-03-31;18;133,2;916,4;22,1;5,3;1,5;
2019-04-30;14;113;915,9;21,6;6,2;1,4;
2019-05-31;5;null;null;19,7;6,8;null;
2019-06-30;5;21,8;920,5;18;6,6;1,2;
2019-07-31;8;68,8;919,7;16,3;7,3;1,4;
2019-08-31;2;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;4;null;null;null;null;null;
2019-11-30;13;201,8;914;21,5;6,2;2,1;
2019-12-31;15;251;914,3;22,2;6,5;1,8;

