Nome: BEBEDOURO
Codigo Estacao: A764
Latitude: -20.94805555
Longitude: -48.47138888
Altitude: 542
Situacao: Operante
Data Inicial: 2016-10-26
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-10-31;null;null;null;null;null;null;
2016-11-30;14;102,6;943,2;24,4;7,3;2,5;
2016-12-31;17;140,6;943,4;25,2;7,5;2,2;
2017-01-31;20;186,8;944,2;24,5;6,2;2;
2017-02-28;12;77,2;943,9;26;5,5;2,1;
2017-03-31;8;202,2;944,4;25,3;7,8;2,1;
2017-04-30;8;59,4;945,7;23,7;6,8;2,2;
2017-05-31;7;108;946,7;22,2;6;1,8;
2017-06-30;1;,8;949,2;20,3;5;1,8;
2017-07-31;0;0;952,6;19,4;5,3;2,2;
2017-08-31;5;13;947,4;22,2;8,3;2,2;
2017-09-30;1;21,2;947,7;25,4;6;2,3;
2017-10-31;10;115,6;943,9;25,9;6,6;2,5;
2017-11-30;18;268,8;942,4;24,3;10;2,6;
2017-12-31;13;281,4;942,3;25,2;6,6;2,1;
2018-01-31;21;253,4;943,6;24,9;7,1;2,1;
2018-02-28;15;130,8;943,1;24,7;5,3;2,1;
2018-03-31;14;132;943,3;26,2;6,3;1,8;
2018-04-30;5;null;946,9;24,1;4,4;1,8;
2018-05-31;1;null;948,4;22,5;5,4;1,8;
2018-06-30;null;null;null;null;4,2;null;
2018-07-31;2;4;948,8;21,6;4,7;1,7;
2018-08-31;6;31,2;948,4;21,2;5,9;2,1;
2018-09-30;9;57,4;944,8;23,8;6,5;2,2;
2018-10-31;18;158;943,7;25,2;8,7;2,2;
2018-11-30;19;215,8;943,4;24,3;5,8;2,5;
2018-12-31;17;166,8;943,9;25,8;6,6;2;
2019-01-31;16;96,6;945,6;26,9;8,1;2;
2019-02-28;18;319,4;943,7;25,2;7,3;2,1;
2019-03-31;16;215,6;945,3;25;5,4;1,9;
2019-04-30;7;129,2;945;24,7;5,3;1,6;
2019-05-31;null;null;946,3;22,8;5,2;1,7;
2019-06-30;1;12;949,8;21,3;4,4;1,7;
2019-07-31;4;12,4;949,1;20,2;6,2;1,9;
2019-08-31;4;8;949,7;22,2;6,3;2,2;
2019-09-30;7;72,6;945,8;25,9;7,7;2,4;
2019-10-31;9;53,6;943,9;26,9;9,5;2,4;
2019-11-30;15;171,4;942,6;25,7;7,2;2,3;
2019-12-31;20;271,8;943,3;25,1;7,4;2;

