Nome: REGISTRO
Codigo Estacao: A766
Latitude: -24.53305554
Longitude: -47.86416666
Altitude: 35
Situacao: Operante
Data Inicial: 2017-02-08
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;5;null;null;26,5;6,7;null;
2017-03-31;23;251,6;1010,8;24,2;10,7;2;
2017-04-30;21;143;1012,9;22;6,4;1,7;
2017-05-31;21;81;1013,5;20,6;5;1,6;
2017-06-30;18;128,6;1015,9;18,6;5,7;1,5;
2017-07-31;11;8,8;1021,2;17,6;5,7;1,6;
2017-08-31;11;50,2;1015,4;18,7;6,5;1,8;
2017-09-30;4;35;1015,4;21,8;6,4;2,1;
2017-10-31;19;230,4;1010,4;22,2;13,1;2,3;
2017-11-30;17;122,8;1009,1;22;null;null;
2017-12-31;14;204,6;1007,9;24,3;8,8;2,3;
2018-01-31;25;200,6;1008,4;25,1;7,9;null;
2018-02-28;18;164,6;1009,4;24,2;null;null;
2018-03-31;14;191,4;1008,5;25,1;null;null;
2018-04-30;16;113,4;1013,5;23;null;null;
2018-05-31;16;37,8;1014,9;20,7;null;null;
2018-06-30;15;68,6;1015,8;18,5;null;null;
2018-07-31;15;32,4;1015,8;18,4;null;null;
2018-08-31;14;46;1016,8;17,4;null;null;
2018-09-30;13;54,8;1012,3;20,5;null;null;
2018-10-31;23;190,2;1011,2;21,3;null;null;
2018-11-30;18;106,8;1010,7;22,8;null;null;
2018-12-31;14;137,8;1009,2;25,5;null;null;
2019-01-31;18;270,8;1009,7;27,4;null;null;
2019-02-28;19;348,4;1008,7;24,8;null;null;
2019-03-31;25;373,8;1011,2;24,5;null;null;
2019-04-30;17;136,8;1010,6;23,5;null;null;
2019-05-31;20;401,8;1012;21,7;null;null;
2019-06-30;18;105,2;1016,2;19,9;null;null;
2019-07-31;18;105;1016,4;17,5;null;null;
2019-08-31;17;27;1018,8;17,9;7,6;null;
2019-09-30;15;140,4;1014,4;19,6;null;null;
2019-10-31;16;71;1011,5;22,5;null;null;
2019-11-30;16;143,8;1010;22,7;null;null;
2019-12-31;null;null;null;null;null;null;

