Nome: TUPA
Codigo Estacao: A768
Latitude: -21.92722221
Longitude: -50.49027777
Altitude: 498
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;6;null;null;22,1;5,3;null;
2017-06-30;6;28,6;961,1;19,9;6;null;
2017-07-31;0;0;964,6;19,6;8,6;3,5;
2017-08-31;7;121,6;959,2;21,7;8,5;3,2;
2017-09-30;2;null;959,1;25,3;8,1;3,3;
2017-10-31;13;166,4;955,7;24,3;10,8;3,3;
2017-11-30;13;140,4;954,1;24,2;10,9;3,1;
2017-12-31;16;141,4;954;25,4;7,2;2,7;
2018-01-31;24;291,6;955,2;24,9;6,3;2,7;
2018-02-28;12;186,8;955,1;24,4;8,3;2,7;
2018-03-31;12;86;954,9;26,3;7,4;2,4;
2018-04-30;6;21,8;958,8;24,5;7;2,8;
2018-05-31;3;29;960,1;22,4;7;2,8;
2018-06-30;1;1,4;960,7;21,6;6,5;2,5;
2018-07-31;1;2;960,6;22,6;null;null;
2018-08-31;6;79,2;960,8;20,7;7,4;3,1;
2018-09-30;10;68,6;956,7;23,8;8,5;3;
2018-10-31;13;null;955,6;25,7;10,8;2,9;
2018-11-30;9;null;955;25,9;8,9;3,5;
2018-12-31;2;null;955,4;null;7,7;2,6;
2019-01-31;7;null;957,1;28,6;7,9;2,5;
2019-02-28;1;null;null;null;8;null;
2019-03-31;4;null;null;25,1;8,1;null;
2019-04-30;7;84;956,9;24,7;6,3;2,2;
2019-05-31;9;37,4;958,2;22,7;6,4;2,4;
2019-06-30;4;37,4;961,5;21,7;7,6;2,7;
2019-07-31;4;34,2;961;20,3;8,1;2,9;
2019-08-31;2;9,2;961,8;21,8;7,7;3,3;
2019-09-30;8;73,8;957,6;24,9;null;null;
2019-10-31;7;74;955,8;26,6;12,6;3,2;
2019-11-30;12;104,4;954,3;25,8;7,7;3,2;
2019-12-31;16;267,8;954,8;25,4;null;null;

