Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;7;null;null;null;null;null;
2017-11-30;16;115,8;946,9;22,1;7,7;2,1;
2017-12-31;19;150,4;946,3;23,7;7;1,6;
2018-01-31;23;256,4;947,4;23,4;6;1,3;
2018-02-28;24;225,2;947,3;23;5,2;1,1;
2018-03-31;19;242,2;947;24,1;6,1;1,3;
2018-04-30;7;28,8;951,3;21,5;5,3;1,1;
2018-05-31;9;40,8;952,5;19;9,3;1,2;
2018-06-30;7;16;953,1;18,7;4,6;1,1;
2018-07-31;5;6,6;953,1;18,1;5,8;1;
2018-08-31;13;99,2;953,2;18,5;5,8;1,4;
2018-09-30;8;48;949,4;21;6,2;1,6;
2018-10-31;21;126,4;948,4;21,8;7;1,6;
2018-11-30;18;149;948,3;22,5;11,5;2;
2018-12-31;18;213;947,7;23,8;7,7;1,4;
2019-01-31;23;202,6;949,1;25,1;6,7;1,2;
2019-02-28;18;217,6;947,3;23,9;6,9;1,4;
2019-03-31;24;213,8;949,4;23,2;6,8;1;
2019-04-30;12;105;948,8;22,8;7,4;1;
2019-05-31;11;77,4;950;20,7;5,1;,9;
2019-06-30;3;12,4;954,1;18,4;5,3;1;
2019-07-31;3;25,6;953,6;16,6;5,8;1,2;
2019-08-31;10;30,6;955,2;17,9;6,2;1,5;
2019-09-30;10;62,8;951,3;21,2;6,3;1,7;
2019-10-31;14;112;948,8;23,1;7;1,7;
2019-11-30;18;140,2;947,4;22,6;7,6;2;
2019-12-31;17;151,6;947,3;23,5;5,6;1,6;

