Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.72444443
Longitude: -46.67749999
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;10;null;null;22,5;4,5;null;
2018-04-30;6;83,2;929,9;20,2;4,7;1,9;
2018-05-31;7;14,6;930,7;18,2;4,6;1,8;
2018-06-30;15;40,2;931,3;17,5;4,2;1,6;
2018-07-31;6;20,8;931,3;17,2;4,8;1,6;
2018-08-31;12;44,8;931,4;15,9;5,2;2;
2018-09-30;19;61,4;928;17,9;5,5;2,1;
2018-10-31;23;200;927,1;18,8;5,7;2,2;
2018-11-30;19;132,4;927;19,7;7,3;2,5;
2018-12-31;19;170,6;926,5;22,2;5,2;2;
2019-01-31;16;274,6;927,9;24,5;4,9;1,7;
2019-02-28;17;400,6;926;22,4;5,3;1,8;
2019-03-31;21;370,4;928,1;21,8;4,8;1,9;
2019-04-30;12;153,8;927,5;21,2;4,6;1,7;
2019-05-31;17;89,4;928,5;19,7;4,6;1,6;
2019-06-30;13;80,4;932,1;18,1;4,7;1,5;
2019-07-31;11;113,4;931,6;16,1;4,4;1,6;
2019-08-31;12;13,6;933,3;16,6;5,7;2,2;
2019-09-30;17;77;929,8;18,8;5,2;2,1;
2019-10-31;13;35,2;927,7;20,5;4,9;2,2;
2019-11-30;15;98,4;926,2;19,8;5;2,4;
2019-12-31;12;124;926;21,4;5,3;2;

