Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2001-11-15
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-11-30;4;null;null;null;null;null;
2001-12-31;6;113,6;1011,5;21,1;10,1;3,8;
2002-01-31;18;284,6;1010,4;23,4;10,3;3,5;
2002-02-28;15;136,6;1011,8;22,7;11,2;3,2;
2002-03-31;21;219,2;1011,2;24,3;10,8;3,3;
2002-04-30;13;null;1014,1;18,3;10,3;2,9;
2002-05-31;15;125;1015,7;18;11,2;2,6;
2002-06-30;12;null;1018,5;13,8;null;null;
2002-07-31;9;null;null;13,8;null;null;
2002-08-31;9;null;null;15,6;null;null;
2002-09-30;10;135,4;1016,2;14,2;null;null;
2002-10-31;13;null;1012,4;19,2;null;null;
2002-11-30;9;null;1012;20,3;null;null;
2002-12-31;14;218,8;1011,4;21,9;8,5;null;
2003-01-31;5;21;1010,6;23,8;8;null;
2003-02-28;11;null;1010,1;24,4;null;null;
2003-03-31;8;null;1014,4;22,7;null;null;
2003-04-30;18;173,8;1014,8;18,4;null;null;
2003-05-31;13;60,6;1015,4;16,2;null;null;
2003-06-30;17;null;1016,5;14,2;null;null;
2003-07-31;9;null;1020,5;13,1;null;null;
2003-08-31;15;96,6;1019,9;12,3;null;null;
2003-09-30;13;152,6;1018,2;14,1;null;null;
2003-10-31;6;30,4;1015,4;17,9;null;null;
2003-11-30;5;null;null;19,4;null;null;
2003-12-31;5;null;null;20,6;14,7;null;
2004-01-31;12;36,6;1011,3;22,8;10,7;5,3;
2004-02-29;9;40,6;1013;22,9;11,1;4,9;
2004-03-31;6;27;1014,3;22,3;11,6;4,9;
2004-04-30;7;null;1012,9;null;11,2;4,9;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
