Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2003-01-27
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-01-31;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;
2003-03-31;12;null;null;18,5;5,6;null;
2003-04-30;13;85,6;913,6;18,8;5,9;1,9;
2003-05-31;15;27,4;914,4;14,9;7,8;1,9;
2003-06-30;1;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;5;null;null;null;null;null;
2005-06-30;13;74,4;915,5;16,4;null;null;
2005-07-31;14;112;917;13,8;null;null;
2005-08-31;9;149;914,5;16,3;null;null;
2005-09-30;12;null;914,7;13,6;null;null;
2005-10-31;19;null;912;17,9;null;null;
2005-11-30;9;null;null;18,8;null;null;
2005-12-31;null;null;null;null;null;null;
2006-01-31;null;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;
2006-03-31;10;null;null;20,8;6;null;
2006-04-30;9;null;911,6;18;5,6;2;
2006-05-31;4;null;null;15,3;7,6;null;
2006-06-30;14;37,6;916,2;14,8;7,6;2,3;
2006-07-31;17;50;915,5;15,7;6,8;1,9;
2006-08-31;8;null;914,1;16;6,9;2,3;
2006-09-30;14;202;913,8;15,1;9,3;2,8;
2006-10-31;10;36,2;911,9;18,1;5,7;2,5;
2006-11-30;20;189,6;911;18,7;7,5;2,5;
2006-12-31;27;41,4;911,1;21;6,4;2,7;
2007-01-31;28;62,4;909,4;21,2;6,4;2,4;
2007-02-28;18;141,6;911,3;21,5;6;2,5;
2007-03-31;14;142,8;912,2;22,4;6,6;1,9;
2007-04-30;14;110,4;913,8;19,3;6,1;2;
2007-05-31;8;null;null;16,9;6,6;null;
2007-06-30;2;null;null;null;null;null;
2007-07-31;11;111,6;914;13,5;7,4;2,4;
2007-08-31;5;11,4;915,8;15,3;8,6;2,5;
2007-09-30;12;93,2;915,8;17,9;7,3;2,4;
2007-10-31;16;138;912,4;18,4;6,7;2,6;
2007-11-30;8;null;910;19;10,3;2,9;
2007-12-31;22;220,8;910;20,6;6,4;2,2;
2008-01-31;27;188,6;910,6;19,6;6,5;2,7;
2008-02-29;17;140,4;910,6;20,8;6,3;2,4;
2008-03-31;12;null;911;20,3;7,5;2,3;
2008-04-30;6;null;null;null;6,3;null;
2008-05-31;11;67,8;913,5;14,9;7,7;1,9;
2008-06-30;17;141;914,5;13,5;8,8;1,9;
2008-07-31;5;35,2;916,3;15,4;6,5;1,7;
2008-08-31;12;116,2;913,5;15,8;7,4;2,1;
2008-09-30;11;30,2;914,2;14,7;6,8;2,5;
2008-10-31;7;null;null;19,7;6,8;null;
2008-11-30;9;null;911,5;18,3;6,8;2,6;
2008-12-31;11;63;909,6;19,4;5,9;2,2;
2009-01-31;9;null;null;null;9,3;null;
2009-02-28;7;null;null;21,8;5,8;null;
2009-03-31;4;null;910,7;21,5;6,5;1,9;
2009-04-30;4;null;null;18,5;4,6;null;
2009-05-31;7;null;null;16,5;7,7;null;
2009-06-30;8;null;null;null;6,6;null;
2009-07-31;null;null;null;null;5,3;null;
2009-08-31;2;null;null;null;8,2;null;
2009-09-30;1;null;null;null;7;null;
2009-10-31;1;null;null;null;5;null;
2009-11-30;3;null;null;null;7,6;null;
2009-12-31;1;null;null;null;8,1;null;
2010-01-31;1;null;null;null;7,8;null;
2010-02-28;9;null;null;null;7,9;null;
2010-03-31;6;null;null;null;6;null;
2010-04-30;1;null;null;null;6;null;
2010-05-31;1;null;null;null;6,6;null;
2010-06-30;null;null;null;null;8,4;null;
2010-07-31;2;null;null;null;6,7;null;
2010-08-31;1;null;null;null;7,8;null;
2010-09-30;5;null;null;null;8;null;
2010-10-31;16;149,2;911,4;15,9;7;2,2;
2010-11-30;12;95,4;909,1;18,7;8,1;2,3;
2010-12-31;20;312,8;908,1;19,8;7,1;2,1;
2011-01-31;25;320;908,4;21,7;5,3;1,6;
2011-02-28;22;279;910,6;21,5;5,8;1,9;
2011-03-31;20;53;911,9;18,9;4,7;2,2;
2011-04-30;15;98,4;912,9;18,6;7,1;1,7;
2011-05-31;15;31,6;914,6;14,9;6,2;1,7;
2011-06-30;15;106,8;913,8;12,8;9,6;1,7;
2011-07-31;15;111,8;914,3;14,6;5,7;1,6;
2011-08-31;11;240,8;913,5;14,7;7,9;2,4;
