Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2008-05-28
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;1;null;null;null;null;null;
2008-06-30;17;68,4;1014,4;13,7;11,8;,8;
2008-07-31;15;15,4;1015,1;16,6;5,1;,8;
2008-08-31;16;39,8;1013,2;16,7;5,4;,9;
2008-09-30;16;145,2;1014,3;16,1;5,4;1,1;
2008-10-31;19;241,4;1012,5;19,3;5,6;1,2;
2008-11-30;20;232,4;1010,9;20,7;5,1;1;
2008-12-31;17;107;1007,8;22,3;6,3;1,1;
2009-01-31;24;378;1008,2;22,6;5,1;,9;
2009-02-28;16;238,2;1007,9;23,8;4,3;,8;
2009-03-31;15;242;1008,1;23,3;3,6;,7;
2009-04-30;16;83,6;1012,2;20,5;3,1;,7;
2009-05-31;20;62;1011,7;17,8;4,4;,6;
2009-06-30;20;39,4;1014,6;14;5,1;,6;
2009-07-31;23;80,4;1014,9;13,2;4,5;,6;
2009-08-31;21;183,8;1013,1;16,6;5,3;,9;
2009-09-30;21;359,6;1012,1;17,4;5,7;,9;
2009-10-31;16;59,8;1010,4;18,9;6,4;,9;
2009-11-30;15;158,8;1005,3;23,9;4,7;,8;
2009-12-31;16;157,4;1007;23,7;5,8;,8;
2010-01-31;23;283,6;1007,3;24,2;8,8;,6;
2010-02-28;17;149,8;1007,4;25,7;6,4;,7;
2010-03-31;22;199,6;1008,3;23,3;5,3;,6;
2010-04-30;16;158,6;1012,8;20,3;4,3;,6;
2010-05-31;22;359;1012,9;17,9;4;,5;
2010-06-30;18;71,6;1016;15,2;3,9;,5;
2010-07-31;24;112;1016;15,7;5;,7;
2010-08-31;13;73;1016,5;15,5;5,6;,7;
2010-09-30;17;95,2;1012,5;17,9;6,3;1;
2010-10-31;17;86,2;1011,1;18,3;7,4;,8;
2010-11-30;15;208,4;1007,5;20,6;5,3;,8;
2010-12-31;19;82,4;1006;22,7;4,2;,7;
2011-01-31;21;422,2;1004,8;24,5;4,7;,5;
2011-02-28;9;null;null;null;null;null;
2011-03-31;18;151,6;1010,9;22,6;4,9;,9;
2011-04-30;14;49,8;1011,1;21;3,7;,8;
2011-05-31;20;100,4;1014,4;17,6;3,9;,8;
2011-06-30;22;103,2;1013,1;14,8;4,7;,9;
2011-07-31;12;null;null;12;5,2;null;
2011-08-31;19;null;1013,2;15,3;5;1,1;
2011-09-30;19;127,8;1015,7;17;8,1;1,2;
