Nome: TRAMANDAI
Codigo Estacao: A834
Latitude: -30.01027777
Longitude: -50.13583333
Altitude: 4.56
Situacao: Pane
Data Inicial: 2008-03-08
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;9;null;1015,1;22,8;9,8;4,4;
2008-04-30;16;142,2;1012,2;20,3;10,5;3,7;
2008-05-31;12;309;1016,4;17,2;18,8;4,4;
2008-06-30;19;105,6;1018,1;13,9;14,7;3,9;
2008-07-31;19;131,8;1018,6;16,2;10,5;3,9;
2008-08-31;14;140,6;1016,6;15,4;12,8;4,8;
2008-09-30;13;175,8;1018,2;15,7;13,7;5,4;
2008-10-31;18;156,8;1016,2;19;15,6;6,1;
2008-11-30;15;80;1014,8;20,2;15,9;6,7;
2008-12-31;11;90,2;1011,8;21;10,1;4,9;
2009-01-31;12;135,6;1012,1;22,3;13,7;4,9;
2009-02-28;13;92;1011,6;23,2;10,5;4,3;
2009-03-31;16;71;1011,8;23,7;12,1;5,1;
2009-04-30;11;42,8;1016;21,4;15,6;4,3;
2009-05-31;11;101,2;1015,3;18,7;10,9;3,9;
2009-06-30;16;33,4;1018,3;14;11;4;
2009-07-31;14;60;1018,6;13;12,4;3,9;
2009-08-31;25;255,4;1016,7;15,1;14,1;4,3;
2009-09-30;16;241,2;1015,3;17;12,8;4,7;
2009-10-31;7;null;1013,7;18,5;14,4;5,2;
2009-11-30;18;206,2;1009;21,9;14,6;4,9;
2009-12-31;12;78,8;1011;23;13,1;5,3;
2010-01-31;20;171,8;1010,9;24,8;11,6;4,7;
2010-02-28;10;153,6;1010,9;26,1;12,4;4,2;
2010-03-31;19;95,8;1012,2;24;11,3;5;
2010-04-30;15;88,4;1016,5;21,1;11,9;4,1;
2010-05-31;21;296;1017;18,3;16,3;4,4;
2010-06-30;15;181;1019,5;15,9;13,5;4,5;
2010-07-31;17;168,6;1019,5;14,8;14,4;4,5;
2010-08-31;21;83,4;1020,2;13,9;12,1;4,3;
2010-09-30;16;178,2;1016,1;17,3;13,1;5,4;
2010-10-31;8;51,4;1015;18,2;12,7;4,4;
2010-11-30;13;151;1011,5;19,9;12,4;5;
2010-12-31;16;62;1009,8;22,5;11,3;5,5;
2011-01-31;20;99,4;1009,2;24,6;10,8;4;
2011-02-28;20;111,8;1011,5;24,6;10,3;4,3;
2011-03-31;15;81,8;1014,6;21,6;11,2;4,9;
2011-04-30;15;112,8;1014,7;20,8;14;3,3;
2011-05-31;14;66;1018,2;17,9;10,5;3,8;
2011-06-30;15;100;1016,7;14,5;11,4;3,8;
2011-07-31;18;248,2;1018,2;13,2;11,1;4,1;
2011-08-31;16;null;1017,5;14,1;13,1;5;
2011-09-30;7;28,2;1019,4;15,9;14,2;5,4;
2011-10-31;17;124,4;1013,4;19;14,5;5,3;
2011-11-30;7;16,6;1014,3;20,3;12,1;6,2;
2011-12-31;13;40,8;1011,3;21,9;20;5,4;
2012-01-31;14;224;1011,9;23,3;11,9;5,2;
2012-02-29;20;64;1010,6;23,8;11,1;3,8;
2012-03-31;16;67,8;1013,5;23,1;9,7;4,1;
2012-04-30;11;129,6;1014,4;20,3;11,9;4,2;
2012-05-31;17;30,2;1018,3;19,2;11,8;3,7;
2012-06-30;14;42,2;1017,5;15;9,7;3,1;
2012-07-31;11;184;1018,5;13,9;10,4;3,5;
2012-08-31;14;70;1020,2;17,2;12,3;5,2;
2012-09-30;11;null;1017,5;17,8;13,9;5,7;
2012-10-31;10;null;1013,7;19,7;13,7;5,4;
2012-11-30;12;57,4;1013;21,6;11,8;5,6;
2012-12-31;14;185,2;1009,2;23,7;16,4;5;
2013-01-31;8;113,4;1013,2;23,9;11,2;5,2;
2013-02-28;17;96,8;1011,6;24,4;12,4;4,3;
2013-03-31;14;181,6;1014,4;22,4;14,4;4,6;
2013-04-30;17;64,6;1015,6;20,7;12,7;4,1;
2013-05-31;15;51,8;1015,9;17,3;12,4;3;
2013-06-30;19;121,6;1017,2;15,5;12,2;3;
2013-07-31;21;96,6;1019,9;13,5;8,9;2,9;
2013-08-31;23;354,8;1019;13,4;10,7;3,7;
2013-09-30;22;130,8;1016,5;16;10,2;3,7;
2013-10-31;12;125,6;1015,8;18,9;12,5;5;
2013-11-30;11;179,2;1012,9;20,4;14,3;5,9;
2013-12-31;11;70,8;1010,4;22,6;10,9;4,8;
2014-01-31;15;150,4;1011,6;25,2;10,2;3,8;
2014-02-28;15;235,2;1012,2;25,4;13,1;4,9;
2014-03-31;12;205,6;1013,3;23,3;10,8;4,2;
2014-04-30;17;52,2;1016,3;21,6;11;4,6;
2014-05-31;21;54,6;1016,8;17,6;10,6;3,1;
2014-06-30;20;182,6;1017,1;16;11;3,5;
2014-07-31;19;169,4;1020,6;15,7;9,6;4,1;
2014-08-31;16;65;1018,2;15,5;10,7;3,8;
2014-09-30;16;172,2;1015,3;18;12;5,1;
2014-10-31;14;159,6;1015,6;20;14,3;5,5;
2014-11-30;15;83;1012,7;21,8;12,3;4,7;
2014-12-31;15;169,6;1011,3;23,4;11;4,6;
2015-01-31;15;172,2;1012,5;25,3;13,4;4,1;
2015-02-28;18;97,2;1012,3;24,8;10,9;4,5;
2015-03-31;15;57,8;1014;23,5;10,7;4,2;
2015-04-30;21;76,2;1016,1;21,5;12,9;4;
2015-05-31;16;224;1017,8;19,1;16,4;4,3;
2015-06-30;14;123,8;1019;16,4;8,8;2,7;
2015-07-31;24;318,4;1017,6;15,9;10,2;2,9;
2015-08-31;14;146;1015,9;18,9;11,3;4,7;
2015-09-30;20;268,6;1014,1;17,2;10,8;4,1;
2015-10-31;16;251;1015,2;18;11,9;5,1;
2015-11-30;12;null;1012,5;20,2;11,7;5,3;
2015-12-31;7;null;null;null;null;null;
2016-01-31;12;84,6;1011,9;23,8;11,7;4,6;
2016-02-29;12;79,4;1011,9;24,5;9,1;3,6;
2016-03-31;17;335,4;1014,6;23,4;13,6;4,3;
2016-04-30;15;229;1013,6;22,6;11,4;2,7;
2016-05-31;17;49,8;1019,1;15,5;null;null;
2016-06-30;16;15,6;1021,7;11,7;null;null;
2016-07-31;13;null;1017,3;14;null;null;
2016-08-31;1;null;null;null;null;null;
2016-09-30;1;null;null;null;null;null;
2016-10-31;18;220;1014,8;18,2;13,6;5,8;
2016-11-30;10;113;1013,6;20,2;14,8;4,8;
2016-12-31;11;133,2;1011,1;23,2;13,8;5;
2017-01-31;13;138,4;1011,7;25,2;9,7;4,4;
2017-02-28;11;57;1011,1;25,7;10,4;3,7;
2017-03-31;16;157,6;1014,5;23,8;13,8;5;
2017-04-30;13;39,4;1016,1;20,8;10,8;4,5;
2017-05-31;23;213,8;1016,7;18,8;16,1;4,4;
2017-06-30;19;141,2;1017,7;16,5;11,7;3,2;
2017-07-31;8;18;1023;16,4;8,9;3,5;
2017-08-31;13;67,2;1017,4;17,4;15,2;4,7;
2017-09-30;14;217,8;1017,6;19,1;13,8;5,2;
2017-10-31;15;222,6;1012,7;19,5;13,2;5;
2017-11-30;12;178,2;1012,2;20,4;12,1;5,1;
2017-12-31;11;164,2;1011,2;22,4;11,1;5,4;
2018-01-31;3;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;1011,5;23,1;10,1;3,6;
2018-04-30;null;null;1016,2;23,3;10,3;3,6;
2018-05-31;null;null;1017,7;19;9,8;3,8;
2018-06-30;8;null;1018,6;14,2;9,2;3;
2018-07-31;23;243;1018,8;14,5;9,2;3,4;
2018-08-31;18;164,2;1019,5;14,2;10,4;3,9;
2018-09-30;19;156,4;1015,5;18,3;12,3;4,8;
2018-10-31;9;85,8;1014,8;19,9;12,7;5,3;
2018-11-30;15;76,6;1013,2;21,2;12,7;5,4;
2018-12-31;10;38,8;1012,2;23,1;11,1;3,1;
2019-01-31;4;26;1012,3;25,4;10,2;2,4;
2019-02-28;15;106,6;1012,3;24,6;9,6;1,8;
2019-03-31;12;174,6;1014,9;23,5;12,1;2,6;
2019-04-30;15;237,4;1014,1;22,4;15,3;1,4;
2019-05-31;24;270,2;1015,8;20,1;12,5;2,2;
2019-06-30;11;34,6;1017,8;18,9;8,4;,9;
2019-07-31;18;128,8;1019,3;13,9;10,9;1,3;
2019-08-31;13;42;1021,1;14,7;10,3;1,5;
2019-09-30;7;24,2;1017,5;16,2;12,1;2,4;
2019-10-31;null;null;1014,6;19,7;14,1;2,8;
2019-11-30;null;null;1013,1;20,8;12,6;4,3;
2019-12-31;6;46,8;1011,4;22,9;10,3;5;

