Nome: MARINGA
Codigo Estacao: A835
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 548.51
Situacao: Operante
Data Inicial: 2006-11-20
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;5;null;null;null;null;null;
2006-12-31;10;219,2;949,5;25,3;6,8;2,2;
2007-01-31;21;268,4;948,5;24,4;5,5;1,9;
2007-02-28;16;201,8;949,9;24,9;6,9;2,1;
2007-03-31;11;145,8;951,4;25,3;4,8;1,8;
2007-04-30;9;63,6;952,6;24;5,6;2,2;
2007-05-31;7;52,8;954;19,4;7,4;2,4;
2007-06-30;2;8;954,9;20,2;5,5;2,1;
2007-07-31;5;191;954,5;18;7,2;2,2;
2007-08-31;3;15,4;954,9;21;5,9;2,6;
2007-09-30;3;30;953,9;24,9;7;2,7;
2007-10-31;10;104,8;950,6;24,9;8,1;2,4;
2007-11-30;8;null;948,6;24,1;10,9;2,4;
2007-12-31;12;226,8;948,8;25;6,2;2;
2008-01-31;17;120,2;949;23,9;5,6;2,4;
2008-02-29;14;134,4;949,8;24,3;5,8;2;
2008-03-31;13;127;950,4;23,9;5,5;2;
2008-04-30;14;165,4;950,3;22,3;7,4;1,8;
2008-05-31;4;80,4;954,2;19,2;5;1,9;
2008-06-30;11;50,2;955,1;17,8;6,6;1,9;
2008-07-31;2;8,2;956,1;20,8;5,6;2,3;
2008-08-31;6;null;952,9;22;7,8;2,5;
2008-09-30;4;19,2;953,4;20,7;7,1;2,5;
2008-10-31;6;null;951,5;24;11,5;2,7;
2008-11-30;7;94,6;949,6;24;7,7;2,3;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;6;null;null;null;6,6;null;
2009-03-31;3;null;950,3;25,8;6,7;1,8;
2009-04-30;2;53,6;952,6;23,7;6,5;2;
2009-05-31;4;null;953,6;20,9;6,9;1,9;
2009-06-30;3;null;null;16,8;6,1;null;
2009-07-31;1;null;null;null;5,9;null;
2009-08-31;2;null;null;21,1;5,5;null;
2009-09-30;5;null;null;null;8,2;null;
2009-10-31;2;null;null;null;7,7;null;
2009-11-30;null;null;null;null;7,7;null;
2009-12-31;null;null;null;null;8,4;null;
2010-01-31;null;null;null;null;6,6;null;
2010-02-28;null;null;null;null;6,6;null;
2010-03-31;null;null;null;null;6,7;null;
2010-04-30;null;null;null;null;5,2;null;
2010-05-31;null;null;null;null;5,4;null;
2010-06-30;null;null;null;null;5,4;null;
2010-07-31;null;null;null;null;5,6;null;
2010-08-31;null;null;null;null;6,2;null;
2010-09-30;null;null;null;null;5,9;null;
2010-10-31;null;null;null;null;6,3;null;
2010-11-30;null;null;null;null;7,6;null;
2010-12-31;20;206,2;947;23,8;8,3;2,1;
2011-01-31;19;181,6;947,9;24,7;6,3;1,7;
2011-02-28;19;307,8;949,7;24,6;5,4;1,8;
2011-03-31;15;244;950;24;5,2;2,2;
2011-04-30;10;92,8;952,3;22,8;7,1;1,8;
2011-05-31;3;14,6;954,7;19,4;5,2;1,7;
2011-06-30;9;133,6;954,4;17,4;6,4;2,1;
2011-07-31;9;149,2;954,2;19,4;5,4;2,1;
2011-08-31;9;39,8;953,6;20,4;6,6;2,4;
2011-09-30;6;29;954,2;22,3;6,6;2,3;
2011-10-31;13;205,4;950;23;8,2;2,4;
2011-11-30;7;110,8;950;23,5;6,7;2,3;
2011-12-31;10;44,2;948,5;25,2;5,8;2,1;
2012-01-31;17;138,6;949,4;23,9;5,9;2,3;
2012-02-29;7;175;950,3;25,9;7,6;2;
2012-03-31;9;62,6;951,6;24,7;7,4;1,9;
2012-04-30;11;143,8;951,6;22,6;6,4;1,9;
