Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2007-01-08
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;4;null;null;23,4;11;null;
2007-02-28;11;120;1008,4;23,7;9,1;2,9;
2007-03-31;15;218,4;1009,9;22,5;11,2;2,7;
2007-04-30;15;95,4;1012,5;19,6;8,9;2,4;
2007-05-31;14;270,6;1015,4;12;9,8;2,8;
2007-06-30;18;152,2;1012,9;11,3;12,6;2,6;
2007-07-31;13;50,4;1014,7;9,3;10,6;2,8;
2007-08-31;18;197;1016,6;10,8;9,2;3,3;
2007-09-30;18;94;1015,1;16,4;12;3,1;
2007-10-31;10;171,8;1010,6;18,5;8,8;3,1;
2007-11-30;8;null;1009;18,7;10,4;3,1;
2007-12-31;8;124,4;1008,2;21,8;13,5;2,9;
2008-01-31;8;55,6;1010;22,8;8,1;3;
2008-02-29;7;null;1009,6;22,7;7,8;2,8;
2008-03-31;4;null;1011,1;21,5;8,1;2,4;
2008-04-30;9;23,4;1009,4;17,9;10,1;2,4;
2008-05-31;18;220,8;1014,3;14,7;11,1;2,5;
2008-06-30;13;64,4;1015,1;11,2;12;2,7;
2008-07-31;16;122,2;1014,9;14,6;9,9;2,3;
2008-08-31;15;176,2;1013,5;12,5;9,4;2,9;
2008-09-30;12;87,8;1015,9;14;9,6;3,2;
2008-10-31;11;34;1013,5;17,3;9,5;3,2;
2008-11-30;4;18,2;1011,7;21,3;11,9;3,7;
2008-12-31;13;63,6;1009,6;21,7;10,1;3,3;
2009-01-31;11;126,2;1009,6;22,5;10,9;3,1;
2009-02-28;12;246,8;1008,5;22,9;10,1;2,9;
2009-03-31;14;47,4;1009,2;21,8;10,7;2,7;
