Nome: FOZ DO IGUACU
Codigo Estacao: A846
Latitude: -25.60194444
Longitude: -54.48305554
Altitude: 235.09
Situacao: Operante
Data Inicial: 2008-02-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;5;null;null;null;6,9;null;
2008-03-31;8;null;984,2;24,1;7,9;2,4;
2008-04-30;11;null;985,1;19,2;8,5;2,4;
2008-05-31;16;57,6;988,9;16,6;9,2;2,4;
2008-06-30;18;135,8;990,2;15;7,2;2,4;
2008-07-31;3;null;989,6;18,6;9,8;3,3;
2008-08-31;12;47,4;986,7;19,3;11,7;3;
2008-09-30;4;null;988,5;null;12,6;3,3;
2008-10-31;1;null;null;null;12,7;null;
2008-11-30;null;null;983,1;null;7,8;2,6;
2008-12-31;null;null;null;null;11,1;null;
2009-01-31;null;null;null;null;10;null;
2009-02-28;8;null;null;25,6;10,2;null;
2009-03-31;8;30,8;983,6;25,1;8;2;
2009-04-30;6;86,4;986,9;22,5;7,1;2;
2009-05-31;24;231,4;987,2;18,9;7,6;2,7;
2009-06-30;13;74,2;990,1;14,3;9,9;2,3;
2009-07-31;19;176,4;989,5;14,5;11,3;2,4;
2009-08-31;18;104,8;987,9;18,6;12,9;3,4;
2009-09-30;24;64,8;986,5;18,8;10,7;3,1;
2009-10-31;3;6,2;983,7;22,1;15;2,8;
2009-11-30;18;62,4;980,3;25,8;10,1;3,4;
2009-12-31;14;90,6;981,9;25,4;7,6;2,5;
2010-01-31;null;0;982,5;26;11,4;2,8;
2010-02-28;1;13,4;983,1;26,3;10,5;3,3;
2010-03-31;7;228,2;983,6;24,5;10,3;2,2;
2010-04-30;10;148;987,5;21,3;6,9;2,4;
2010-05-31;16;33,4;988,6;16,9;8,5;2,6;
2010-06-30;20;16,8;989,9;17,5;11,9;2,9;
2010-07-31;7;5,8;990,2;16;9,9;3,2;
2010-08-31;0;0;989,9;17,3;11,4;3,3;
2010-09-30;12;116,8;985,9;20;11,7;3,3;
2010-10-31;15;244;985,4;20,1;12;2,8;
2010-11-30;4;null;null;22,1;8,7;null;
2010-12-31;18;328,6;980,2;24,1;12,8;2,9;
2011-01-31;12;168;981;25,9;8,9;2;
2011-02-28;15;119,4;982,8;25,1;10,2;2,4;
2011-03-31;13;39;983,8;25;9,7;2,9;
2011-04-30;10;null;null;21,5;11,3;null;
2011-05-31;16;10,8;989,4;18,2;6,8;2,4;
2011-06-30;22;54,6;988,7;15,9;7,8;2,7;
2011-07-31;15;223,8;988,2;16,7;10,6;2,6;
