Nome: SAO LUIZ GONZAGA
Codigo Estacao: A852
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.5
Situacao: Operante
Data Inicial: 2007-07-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;null;null;null;null;null;
2007-08-31;11;46;988,8;14,5;8;3,3;
2007-09-30;11;340,4;987,3;20,3;7;3,4;
2007-10-31;17;210,6;983,4;21,8;7,7;3,3;
2007-11-30;9;null;982,7;21,3;6,1;2,7;
2007-12-31;6;97,2;981,5;25,5;9,6;2,6;
2008-01-31;9;131;982,2;25,4;6,7;2,8;
2008-02-29;10;125,2;982,5;24,8;5,4;2,4;
2008-03-31;9;52,4;983,8;23,5;6,2;2,5;
2008-04-30;14;184,2;984,2;20;6,7;2,3;
2008-05-31;11;84,2;988,3;16;6,4;2,6;
2008-06-30;15;179;989,4;13,4;7,5;2,6;
2008-07-31;12;47;988,3;18;10,1;3,1;
2008-08-31;10;126,2;986,5;16,2;7,9;2,8;
2008-09-30;9;77;988,3;16,1;7,2;3;
2008-10-31;18;457,6;985,6;20;6,9;3;
2008-11-30;7;45,6;983,3;23,6;6,4;3;
2008-12-31;7;38,4;981,9;25,2;7;2,7;
2009-01-31;11;116,4;982,8;24,3;8,2;2,8;
2009-02-28;11;119;982,3;25,1;8,8;2,6;
2009-03-31;8;40,8;983,1;24,3;6,4;2,2;
2009-04-30;3;7,6;986,8;21,9;6,7;2,3;
2009-05-31;9;141,4;986,4;18,6;8,1;2,6;
2009-06-30;11;98;989,5;12,7;10,7;2,7;
2009-07-31;9;113,8;989,3;12;6,9;2,4;
2009-08-31;11;183,8;987;17,4;8,5;3,2;
2009-09-30;15;211;986,4;16,8;7,9;3;
2009-10-31;8;136,6;983,6;20,7;8,5;3;
2009-11-30;20;604,4;979,2;24,5;9,4;3,2;
2009-12-31;17;196,8;981,4;25;9,3;2,7;
2010-01-31;13;357;981,8;25,4;6,5;2,6;
2010-02-28;11;222,6;982,1;26,1;7,5;2,9;
2010-03-31;5;78,2;983,3;24,1;7,9;2,4;
2010-04-30;6;136,2;987,5;20,2;7,1;2,6;
2010-05-31;19;127,6;988,3;16;6,5;2,4;
2010-06-30;12;67,4;989,3;15,7;8,7;3;
2010-07-31;15;201,6;989,6;14,4;6,1;3;
2010-08-31;9;14,2;989,8;15,4;8,7;3,1;
2010-09-30;17;254,4;985,8;17,6;7,6;2,9;
2010-10-31;7;108,2;985,6;19;7,8;2,8;
2010-11-30;4;44,8;982,5;22,2;7;2,4;
2010-12-31;12;209,8;979,7;24,7;7,4;2,8;
2011-01-31;11;98,4;980,2;26,3;7,6;2,3;
2011-02-28;13;183,2;982,4;24,6;5,8;2,4;
2011-03-31;3;null;984;23,8;5,7;2,7;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;9;null;null;16,2;7;null;
2011-09-30;6;88,2;988,3;18,3;7,8;2,9;
2011-10-31;10;221,2;983,8;20,3;10,4;2,6;
2011-11-30;7;78,6;983,3;23,5;7;2,7;
2011-12-31;7;36,8;981,8;24,4;7,5;2,4;
2012-01-31;6;41,4;981,8;26,5;7,9;2,6;
2012-02-29;10;44,4;982;27,2;8,5;2,5;
2012-03-31;5;57,6;984,8;24,5;6,6;2,2;
2012-04-30;null;null;null;null;4,7;null;
2012-05-31;2;null;null;null;5,3;null;
2012-06-30;9;60,2;988,4;16,3;7,3;2,6;
2012-07-31;9;81,2;989,2;13,6;6,9;2,6;
2012-08-31;8;80,8;989,5;19,5;6,6;3,2;
2012-09-30;7;109;987,1;19,2;8,3;3,2;
2012-10-31;17;454,8;983,2;20,9;9,6;3,3;
