Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.81916666
Longitude: -50.98555555
Altitude: 944.26
Situacao: Pane
Data Inicial: 2008-03-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;5;null;null;null;null;null;
2008-04-30;21;193,8;907,8;15,4;6,2;1,5;
2008-05-31;17;66,2;910,6;12,4;5,6;1,8;
2008-06-30;19;148;911,4;11;10,5;1,7;
2008-07-31;13;36,6;912,9;13,4;5,4;1,7;
2008-08-31;19;88,2;910,1;14,3;8,5;2;
2008-09-30;13;173,6;910,8;13,2;7,9;2,3;
2008-10-31;18;314,2;909,9;16,7;6,4;2,1;
2008-11-30;13;147,8;908,1;17,9;6,7;2,2;
2008-12-31;14;109,6;906,6;19,3;5,7;2;
2009-01-31;20;219,8;907,3;19;7,6;1,9;
2009-02-28;18;177,4;907,6;20,5;7;1,6;
2009-03-31;14;44,8;907,9;20,1;5,5;1,7;
2009-04-30;8;46,2;910,5;17,1;6,4;1,6;
2009-05-31;19;105;910,1;14,1;5,7;1,6;
2009-06-30;21;73,8;911,5;10,2;5,4;1,7;
2009-07-31;23;168;911;10,8;6;1,5;
2009-08-31;22;164,2;911;14,1;6,9;1,9;
2009-09-30;17;262,6;909,2;14,8;7,3;1,9;
2009-10-31;13;114,2;907,8;17;8,7;1,9;
2009-11-30;15;149,8;905,6;21,2;7,3;2;
2009-12-31;14;156,8;906,5;20,8;6,4;1,8;
2010-01-31;6;1,2;907,3;20,8;6,5;1,8;
2010-02-28;2;48,4;908,2;21,4;6;1,8;
2010-03-31;18;208,8;908;19;5,6;1,5;
2010-04-30;13;304,4;911,1;16,3;5,1;1,6;
2010-05-31;22;161,2;910,4;13,1;6,4;1,7;
2010-06-30;12;127,8;912,8;12,5;5,4;1,7;
2010-07-31;19;83,2;912,9;12,7;6,9;1,8;
2010-08-31;9;84,2;912,8;13,1;6,1;2,1;
2010-09-30;7;40,8;909,8;15,8;8,4;2,3;
2010-10-31;17;155;908,3;15,4;6,2;1,8;
2010-11-30;15;126,6;906;17,6;8,4;1,9;
2010-12-31;19;291,6;905,1;19,1;7,2;1,7;
2011-01-31;24;274,6;905,5;20,9;5,7;1,4;
2011-02-28;23;227,6;907,4;20,7;5,4;1,5;
2011-03-31;13;139,8;909;18,6;6,4;1,9;
2011-04-30;18;113,6;909,9;16,8;7,4;1,4;
2011-05-31;18;47,4;911,7;12,8;5,6;1,3;
2011-06-30;19;169,8;910,7;10,7;6,2;1,7;
2011-07-31;16;259,8;910,9;12,3;5,6;1,7;
2011-08-31;17;251,4;910,4;13,2;8,3;2,3;
2011-09-30;14;196,4;912,3;13,8;7,6;2,1;
2011-10-31;13;156,8;907,8;16,7;5,8;2,1;
2011-11-30;10;53,4;908,2;17,4;6,9;2;
2011-12-31;17;99,8;906,3;18,5;5,4;1,9;
2012-01-31;17;143;907,1;19,8;5,6;1,7;
2012-02-29;16;121,4;908,1;21,3;9,4;1,5;
2012-03-31;10;65,6;909,3;18,9;5,2;1,6;
2012-04-30;6;null;null;null;null;null;
2012-05-31;8;54,6;912,4;13,5;6,7;1,5;
2012-06-30;17;139,4;911,2;12,4;5;1,5;
2012-07-31;20;167;911,4;11,7;6,9;1,7;
2012-08-31;11;15;914,5;15,4;6,6;1,9;
2012-09-30;10;57;911,4;15,7;7,9;2,3;
2012-10-31;18;185,2;908,4;17,6;7,3;1,9;
2012-11-30;11;15,2;907,4;19,7;6;2,1;
2012-12-31;15;26;906,3;21,5;7;1,9;
2013-01-31;null;null;908,3;19,6;7,2;1,9;
2013-02-28;null;null;907,8;20;5,7;1,6;
2013-03-31;null;null;909,1;18,2;7;1,7;
2013-04-30;17;60,4;910,6;15,4;5,5;1,6;
2013-05-31;5;6,4;910,5;13,8;6,9;1,6;
2013-06-30;null;null;910,8;12,7;4,7;1,6;
2013-07-31;7;38,2;912,3;12,5;6,4;1,9;
2013-08-31;19;34,6;911,5;12,6;7,9;2;
2013-09-30;24;49,6;910,7;14,4;6,6;2;
2013-10-31;18;29,4;909,6;16,6;7,5;2,1;
2013-11-30;24;156,2;908,1;18,6;8,1;2,4;
2013-12-31;31;303,4;906,2;20,3;5,8;1,9;
2014-01-31;30;111;908,9;21,1;7,7;1,8;
2014-02-28;27;103,8;909;20,8;5,6;1,9;
2014-03-31;25;55,4;909,1;18,6;6,3;1,8;
2014-04-30;27;113,4;910,8;17,1;5,5;1,7;
2014-05-31;9;47,8;910,8;13,7;6,3;1,6;
2014-06-30;null;null;911;13,4;6,9;1,9;
2014-07-31;null;null;914;12,3;6,7;1,9;
2014-08-31;null;null;912,3;14,3;9,6;1,8;
2014-09-30;null;null;909,8;16,1;8,7;2;
2014-10-31;null;null;910,4;18,5;9,9;2,1;
2014-11-30;14;124;907,9;18,9;5,4;1,9;
2014-12-31;31;258;907,6;20,1;6,4;1,9;
