Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;null;null;null;null;null;
2016-06-30;7;32,2;921,9;9,4;4,2;1,3;
2016-07-31;7;105,8;919,2;11,9;5,9;1,7;
2016-08-31;18;121,8;918,6;13;6,8;null;
2016-09-30;14;90,2;918,8;13,3;null;null;
2016-10-31;25;231,8;917,1;14,9;null;null;
2016-11-30;18;85,6;916,1;16,3;null;null;
2016-12-31;27;401,2;914,9;18,7;null;null;
2017-01-31;23;244,4;915,7;20,5;null;null;
2017-02-28;23;206,4;916,1;20,9;null;null;
2017-03-31;23;158;917,7;18,5;null;null;
2017-04-30;25;138,8;918,6;15,8;null;null;
2017-05-31;19;326,4;918,7;15,2;null;null;
2017-06-30;18;220,8;919,7;13,3;null;null;
2017-07-31;11;28,6;924,7;12,5;5,5;1,7;
2017-08-31;17;154;919,7;13,2;6,1;1,9;
2017-09-30;13;81;920,6;16,5;6,1;1,7;
2017-10-31;23;104;915,7;16,3;6,5;1,9;
2017-11-30;15;129,4;914,7;16,2;5,3;1,8;
2017-12-31;26;252,4;914,7;18,7;6,9;1,7;
2018-01-31;23;296,8;915,1;19,4;6,3;2,1;
2018-02-28;19;108,4;916;18,4;5,6;2;
2018-03-31;23;201,8;915,2;19,1;5;2;
2018-04-30;11;59,4;919,7;17,9;5,3;1,9;
2018-05-31;17;83,6;919,8;14,6;6,1;2;
2018-06-30;18;122,4;919,4;12,7;7,2;2;
2018-07-31;10;67,8;919,6;13,7;8,4;2,2;
2018-08-31;8;98;920,1;11,6;8,3;2,3;
2018-09-30;18;198,4;917,4;14,9;7,4;2,1;
2018-10-31;26;145,2;916,7;15,1;8;2,5;
2018-11-30;24;138,6;916,6;17;null;null;
2018-12-31;22;259,2;915,9;19,3;null;null;
2019-01-31;23;218,4;917,1;21,9;null;null;
2019-02-28;11;null;null;19;null;null;
2019-03-31;5;null;null;null;5,6;null;
2019-04-30;15;130,8;917;18;5,7;2;
2019-05-31;20;236,6;917,7;16,1;7,8;2,1;
2019-06-30;12;25,8;920,7;14,9;6,3;2,2;
2019-07-31;15;85,8;920;12,1;null;null;
2019-08-31;14;51,2;922,2;12,2;null;null;
2019-09-30;20;83,6;919;14,2;6,3;2,2;
2019-10-31;17;126,6;917,4;17,1;7,8;2,4;
2019-11-30;21;147;915,9;17,8;6,5;2,4;
2019-12-31;null;null;null;null;null;null;

