Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Operante
Data Inicial: 2012-12-12
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-12-31;8;null;null;23,6;10;null;
2013-01-31;7;75;960,9;22,1;7,3;2,6;
2013-02-28;14;126,8;960;22,2;7,7;2,3;
2013-03-31;12;172;961,9;19,4;10,5;2,5;
2013-04-30;8;null;963,4;19,5;5,9;2,3;
2013-05-31;7;null;962,8;16,8;8,7;2,2;
2013-06-30;12;null;963,9;14,8;6,7;2,2;
2013-07-31;4;null;null;null;7;null;
2013-08-31;2;null;null;null;6;null;
2013-09-30;10;null;963,1;17,3;9,6;2,7;
2013-10-31;12;233,2;962,5;18,5;7,3;2,7;
2013-11-30;11;147,8;959,8;22;9,5;3,2;
2013-12-31;8;157,4;958;24,3;5,8;2,5;
2014-01-31;12;157,6;960,5;24,2;7,2;2,3;
2014-02-28;12;101,6;960,7;23,9;7,1;2,6;
2014-03-31;18;127;961,3;21,2;6;2,3;
2014-04-30;10;119,8;963,6;19,5;8,2;2,5;
2014-05-31;24;264;964,3;15,2;7,5;2,1;
2014-06-30;23;356,6;964,2;14;8;2,5;
2014-07-31;16;181,2;967;14,4;6,3;2,6;
2014-08-31;3;null;null;null;null;null;
2014-09-30;14;null;962,4;17,6;9,1;3;
2014-10-31;7;null;962,9;20,5;7,8;2,9;
2014-11-30;15;107,6;960,4;22,2;6,3;2,7;
2014-12-31;15;135,6;959,7;22,9;6,4;2,7;
2015-01-31;19;322,4;961,5;22,9;6,3;2,4;
2015-02-28;5;null;null;null;6,3;null;
2015-03-31;9;37,8;962;22,2;5,1;2,3;
2015-04-30;13;201,6;963,8;19,4;6,6;2,2;
2015-05-31;13;178,4;965,2;16,5;8,1;2,4;
2015-06-30;13;263;966,5;14,6;7,3;2,5;
2015-07-31;23;243,4;965;14;6,1;2,5;
2015-08-31;6;null;null;19,6;6,9;null;
2015-09-30;10;null;null;18,2;8,2;null;
2015-10-31;12;null;961,5;19,7;8,3;3;
2015-11-30;14;152,2;959,6;20,2;7,8;2,8;
2015-12-31;18;515,2;959,5;22,2;7,9;2,5;
2016-01-31;8;59,2;959,6;24,5;6,5;2,5;
2016-02-29;14;174;960,5;23,9;7,2;2,2;
2016-03-31;16;270,4;962,9;20,8;7,1;2,5;
2016-04-30;19;150;962,3;21,1;8,3;2,4;
2016-05-31;21;72,2;966,3;13,9;6,3;2,1;
2016-06-30;14;16;968,8;10,8;6,7;2;
2016-07-31;17;169,4;965,5;13,4;7,7;2,4;
2016-08-31;14;101,2;964,6;15;6,2;2,3;
2016-09-30;10;64,8;965,6;15,1;8,3;2,4;
2016-10-31;15;275,6;961,6;18,4;8,4;2,8;
2016-11-30;7;101;961,3;20,6;8,4;2,5;
2016-12-31;12;62,2;959,4;23,2;7;2,5;
2017-01-31;15;52,4;960,4;23,3;6;2,3;
2017-02-28;14;169,6;960,1;23,4;7,1;2,1;
2017-03-31;14;142,8;962,3;21,8;6,6;2,4;
2017-04-30;10;216;963,8;18,4;6,4;2,5;
2017-05-31;21;322,6;963,7;16,7;9,1;2,6;
2017-06-30;17;182,4;965,5;14,6;7,5;2,4;
2017-07-31;5;36,6;970;14,8;6,3;2,4;
2017-08-31;15;190,6;964,5;15,7;7,9;2,7;
2017-09-30;10;109,6;964,6;19,9;6,4;2,7;
2017-10-31;18;256,4;960,5;19,1;7,6;2,8;
2017-11-30;10;229,6;959,8;20,3;7,4;2,5;
2017-12-31;12;126;958,9;23,4;9,1;2,5;
2018-01-31;16;340,8;959,8;22,7;7,5;2,4;
2018-02-28;12;140,8;960,9;21,9;9;2,2;
2018-03-31;13;157,8;960,2;21,7;8,3;2,2;
2018-04-30;13;83,2;964,5;21,7;5,5;2,1;
2018-05-31;13;115,2;965,5;16,8;5,6;2,3;
2018-06-30;21;94;966,3;12,3;9,8;2,2;
2018-07-31;21;114;966;13,4;5,8;2,4;
2018-08-31;18;91;966,7;12,3;6,6;2,4;
2018-09-30;18;183,8;962,2;17,7;7,8;2,5;
2018-10-31;11;194,2;961,6;19;7,3;2,8;
2018-11-30;10;239,2;960,5;22,1;7,9;2,8;
2018-12-31;13;209,2;960,7;22,6;7,6;2,4;
2019-01-31;18;205;961,1;24,3;7,7;2,4;
2019-02-28;15;126,4;960,9;22,2;6,6;2,2;
2019-03-31;14;175,8;963,1;20,9;5,2;2,3;
2019-04-30;13;177,6;962,4;20,4;6,9;2;
2019-05-31;25;214,2;963,4;17,4;5,3;2,2;
2019-06-30;9;22;965,8;16,9;9;2,3;
2019-07-31;18;150,4;966,6;12,6;6,5;2,1;
2019-08-31;9;74,2;968;14;6;2,6;
2019-09-30;13;83,2;963,8;16,5;7;2,6;
2019-10-31;15;329,4;961,9;20;7,5;2,8;
2019-11-30;11;222,4;960;22,2;6,6;2,7;
2019-12-31;5;19,4;959,7;24,1;9,8;2,4;

