Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;5;null;null;19,7;6,9;null;
2018-04-30;12;247;968,9;20,9;6,9;2,1;
2018-05-31;11;56,6;969,6;15,7;7,1;2,5;
2018-06-30;16;123,2;969,9;10,9;7,5;2,4;
2018-07-31;21;214;970;11,6;8,6;3;
2018-08-31;13;150,2;970,6;12;7,2;2,9;
2018-09-30;17;304,6;967,2;16,7;9;2,9;
2018-10-31;9;94,4;966,8;17,1;7,7;3,1;
2018-11-30;8;138,6;965,4;20,6;8;2,9;
2018-12-31;12;161,2;965;21,5;7,7;2,7;
2019-01-31;17;205,2;965,4;23,8;8,6;2,8;
2019-02-28;11;55;965,6;22,3;6,8;2,4;
2019-03-31;13;71,4;967,7;20,5;7,9;2,7;
2019-04-30;6;null;null;null;null;null;
2019-05-31;19;189,2;968,4;16,3;7,9;2,7;
2019-06-30;9;58;969,6;16,4;7,9;2,5;
2019-07-31;12;263,4;970,5;11,8;7,4;2,6;
2019-08-31;6;119,8;972,5;12,9;9,1;2,9;
2019-09-30;13;102,8;968,8;14,6;7,2;2,9;
2019-10-31;16;354;966,8;18,3;10,9;3,1;
2019-11-30;11;110,4;965,2;20,4;7,1;2,7;
2019-12-31;6;52,4;964,2;23,2;7,4;2,6;

