Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;
2016-04-30;13;null;null;19,2;6,4;null;
2016-05-31;11;46,4;962,2;12,9;5,9;1,1;
2016-06-30;3;11;964,5;9,2;5,5;1;
2016-07-31;9;170,6;961,4;12,2;6,6;1,3;
2016-08-31;15;129,4;960,5;13,9;5,9;1,2;
2016-09-30;9;54;961,3;14,3;6,5;1,5;
2016-10-31;14;321,2;957,7;17,8;6,7;1,5;
2016-11-30;10;68,8;957,3;19,4;5,6;1,3;
2016-12-31;21;175,2;955,4;22,1;5,4;1,4;
2017-01-31;21;135;956,4;22,8;8;1,3;
2017-02-28;19;156,8;956,2;23,2;4,9;1,3;
2017-03-31;14;204;958,5;20,8;4,9;1,2;
2017-04-30;16;212;959,9;17,4;5,1;1,2;
2017-05-31;23;345;959,9;16,2;5,9;1,2;
2017-06-30;20;166;961,6;13,6;5;1,2;
2017-07-31;13;29,6;966,2;13,1;5,3;1,2;
2017-08-31;18;103,8;960,7;15;5,2;1,4;
2017-09-30;12;131,4;960,9;19,4;6,3;1,3;
2017-10-31;21;271,2;956,6;18,3;9;1,6;
2017-11-30;13;221,6;955,8;18,6;5,7;1,4;
2017-12-31;10;120;955,1;22,3;5,8;1,3;
2018-01-31;16;187;955,8;22,1;5,6;1,3;
2018-02-28;11;83;956,9;21;4;1,1;
2018-03-31;13;125;956,3;20,5;5,6;1,1;
2018-04-30;13;41,4;960,7;20,1;4,6;1;
2018-05-31;11;null;null;15,6;5,1;null;
2018-06-30;15;null;962,3;12;11,1;1,2;
2018-07-31;18;186,4;961,8;13,2;6,2;1,3;
2018-08-31;18;167,4;962,4;11,9;6,1;1,3;
2018-09-30;17;220,8;958,3;17,3;4,3;1,3;
2018-10-31;15;247,8;957,7;18,2;6;1,4;
2018-11-30;13;224;956,7;21,1;6,5;1,5;
2018-12-31;13;177;956,6;21,6;6,1;1,3;
2019-01-31;19;175,2;957,2;24,1;7,3;1,3;
2019-02-28;18;196;956,8;21,3;6,1;1,1;
2019-03-31;17;154,6;959,1;19,9;4,7;1,1;
2019-04-30;18;153,2;958,3;19,3;6,6;1;
2019-05-31;19;208,6;959,3;17;4,4;1,1;
2019-06-30;15;34,6;961,9;15,5;6,4;1,1;
2019-07-31;17;120,2;962,4;11,9;5,1;1,1;
2019-08-31;17;72,6;964;13,3;5,6;1,3;
2019-09-30;17;74,8;959,9;15,7;5,4;1,3;
2019-10-31;17;318,4;958,1;19;6,8;1,3;
2019-11-30;16;192,4;956,2;21,1;6,1;1,4;
2019-12-31;9;48,4;955,6;22,9;6,8;1,5;

