Nome: TANGARA DA SERRA
Codigo Estacao: A902
Latitude: -14.65
Longitude: -57.43166666
Altitude: 440.01
Situacao: Operante
Data Inicial: 2002-12-10
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;
2003-03-31;null;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;
2003-06-30;null;null;964,1;23,4;7;2,9;
2003-07-31;0;0;965,6;23,2;7,1;3,3;
2003-08-31;2;2;965,4;23,6;8,3;3,7;
2003-09-30;7;90;963,3;24,8;12,7;3,2;
2003-10-31;17;220;961,4;24,8;9,6;3,2;
2003-11-30;19;364,2;960,4;24,5;10,5;3,1;
2003-12-31;2;null;null;null;10,3;null;
2004-01-31;null;null;null;null;7,7;null;
2004-02-29;3;null;null;null;6,6;null;
2004-03-31;5;null;961;25,4;11;2,7;
2004-04-30;13;39,6;961,9;24,9;8;2,7;
2004-05-31;10;45,6;965;20,9;7;3,1;
2004-06-30;2;,6;966;22,4;8,1;3,1;
2004-07-31;4;25,4;964,9;22,1;9;3,3;
2004-08-31;2;14,8;965,1;24,5;9,8;3,2;
2004-09-30;7;53,8;962,6;26,2;9,6;3,1;
2004-10-31;12;136,8;960,9;25,8;10;3,2;
2004-11-30;11;207,8;960,4;25;9,7;2,8;
2004-12-31;21;109,2;960,2;25,3;9,4;2,8;
2005-01-31;24;346,6;959,2;24,6;7,9;2,9;
2005-02-28;14;null;960,7;25,1;8,9;2,6;
2005-03-31;16;103,2;961,4;24,8;8,5;2,6;
2005-04-30;10;26;962,9;24,3;9,2;2,9;
2005-05-31;1;null;963;24,9;8,3;3,3;
2005-06-30;1;3,2;964,1;24,6;8,4;3,4;
2005-07-31;1;,2;966,3;22,5;9,6;3,8;
2005-08-31;3;26,8;963,9;25,3;11,4;3,6;
2005-09-30;5;null;963,7;23,3;9,1;3,6;
