Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2011-09-21
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-09-30;1;null;null;null;null;null;
2011-10-31;18;160,2;null;23,4;9,4;null;
2011-11-30;11;62;null;23,5;8,5;null;
2011-12-31;18;277,4;null;23,3;6,5;null;
2012-01-31;27;281,4;null;22,4;6,8;null;
2012-02-29;16;182,4;null;23,3;7,9;null;
2012-03-31;23;209,4;null;22,9;8;null;
2012-04-30;18;91,6;null;23,1;6,9;null;
2012-05-31;9;91,8;null;21;6,4;null;
2012-06-30;7;34,2;null;21;7,3;null;
2012-07-31;1;2;null;20,5;6,7;null;
2012-08-31;null;0;null;22,8;7,1;null;
2012-09-30;5;23,8;null;25,2;8,8;null;
2012-10-31;10;67,2;null;25,3;9;null;
2012-11-30;18;197,8;null;23,5;11,6;null;
2012-12-31;16;165;null;24,3;7,7;null;
2013-01-31;24;347,2;null;23,3;6,5;null;
2013-02-28;19;265,6;null;22,9;7,1;null;
2013-03-31;19;250;null;23,7;7,6;null;
2013-04-30;11;174,8;null;22,2;5,8;null;
2013-05-31;2;29,4;null;22,1;5,7;null;
2013-06-30;4;null;null;21,8;6,6;null;
2013-07-31;0;0;null;20,3;6,2;null;
2013-08-31;1;,2;null;21,5;7;null;
2013-09-30;6;32,8;null;24,3;7,7;null;
2013-10-31;21;101,8;null;23,8;7,4;null;
2013-11-30;13;168,8;null;23,6;6,6;null;
2013-12-31;26;244,8;null;23,3;null;null;
2014-01-31;20;188,2;null;23,1;null;null;
2014-02-28;15;274,8;null;23,2;null;null;
2014-03-31;21;261,8;null;23,2;null;null;
2014-04-30;14;209,8;null;23,2;null;null;
2014-05-31;2;43,4;null;21,4;null;null;
2014-06-30;3;13,6;null;21,1;null;null;
2014-07-31;null;null;null;21,4;null;null;
2014-08-31;null;null;null;null;6,6;null;
2014-09-30;null;null;null;null;6,8;null;
2014-10-31;null;null;null;null;7,3;null;
2014-11-30;8;null;null;23,1;6,4;null;
2014-12-31;24;271,6;null;23,1;6,2;null;
2015-01-31;15;106,8;null;24,1;8,1;null;
2015-02-28;18;211,2;null;23,3;6,2;null;
2015-03-31;21;163;null;22,8;6,9;null;
2015-04-30;4;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;3;33,6;null;21,1;5,2;null;
2015-07-31;3;43,4;null;21,6;6,5;null;
2015-08-31;2;15,4;null;23,2;6,3;null;
2015-09-30;5;38,8;null;25,5;8,4;null;
2015-10-31;13;71;null;25,8;8;null;
2015-11-30;23;305,8;null;24,1;9,2;null;
2015-12-31;19;170;null;24,2;6,4;null;
2016-01-31;24;496,6;null;23,7;6,2;null;
2016-02-29;18;116,4;null;24,5;7,5;null;
2016-03-31;20;133,4;null;24,1;9,3;null;
2016-04-30;4;25;null;24,4;6;null;
2016-05-31;10;57;null;22,5;7,3;null;
2016-06-30;5;21;null;20,5;5,5;null;
2016-07-31;0;0;null;21,7;6,5;null;
2016-08-31;5;null;null;22,7;7,2;null;
2016-09-30;2;null;null;null;7,2;null;
2016-10-31;8;null;null;null;7,4;null;
2016-11-30;null;null;null;null;6,5;null;
2016-12-31;null;null;null;null;8,2;null;
2017-01-31;null;null;null;null;6,3;null;
2017-02-28;null;null;null;null;7,8;null;
2017-03-31;null;null;null;null;6,9;null;
2017-04-30;null;null;null;null;5,4;null;
2017-05-31;9;22,4;null;23,2;5,8;null;
2017-06-30;2;,4;null;21,2;5,9;null;
2017-07-31;0;0;null;19,6;6,5;null;
2017-08-31;2;37,2;null;23,6;7;null;
2017-09-30;4;14,4;null;25,4;7,3;null;
2017-10-31;14;57,8;null;25;7,2;null;
2017-11-30;21;251,6;null;23,8;7,9;null;
2017-12-31;25;187,6;null;23,4;7,2;null;
2018-01-31;23;247,4;null;23,3;9;null;
2018-02-28;22;161,4;null;23,6;7;null;
2018-03-31;24;125,8;null;24;6,6;null;
2018-04-30;19;17,4;null;22,7;7,9;null;
2018-05-31;null;null;null;21,4;5,6;null;
2018-06-30;null;0;null;21,2;6,2;null;
2018-07-31;0;0;null;21,4;6,7;null;
2018-08-31;4;1;null;23;7,6;null;
2018-09-30;null;null;null;23,7;8,9;null;
2018-10-31;null;null;null;24,3;7,8;null;
2018-11-30;19;null;null;23,3;11,3;null;
2018-12-31;15;185;null;24;6,3;null;
2019-01-31;17;140,6;null;24,1;7,6;null;
2019-02-28;21;260,4;null;23,4;7,4;null;
2019-03-31;18;217,8;null;23,6;5,9;null;
2019-04-30;21;213,4;null;23,4;6,4;null;
2019-05-31;10;51;null;22,3;5,2;null;
2019-06-30;3;1,4;null;21,2;7,2;null;
2019-07-31;1;1,8;null;20,7;7,4;null;
2019-08-31;null;null;null;23;6,7;null;
2019-09-30;null;null;null;null;7,2;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;6;null;null;null;null;null;
2019-12-31;25;331;null;23,6;8,7;null;

