Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Pane
Data Inicial: 2019-02-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;6;null;null;null;null;null;
2019-03-31;24;250;978,1;25,2;5;1,3;
2019-04-30;16;120,4;977,7;26;6,9;1,1;
2019-05-31;10;22,8;977,8;26,6;3,9;1;
2019-06-30;0;0;980;25,6;4;1,4;
2019-07-31;0;0;979,9;25,4;4,8;1,5;
2019-08-31;null;0;979,9;26,8;6,7;1,6;
2019-09-30;6;50,6;977,2;28,4;7,4;1,7;
2019-10-31;16;170,2;976,8;25,9;8,8;1,7;
2019-11-30;18;278,4;975,9;26,1;6,7;1,5;
2019-12-31;19;177,4;976,2;26,2;7,2;1,3;

