Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2016-08-03
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;11;null;947,4;17,6;7,4;3,1;
2016-09-30;7;35;948,1;19;7,9;2,9;
2016-10-31;14;213,8;944,9;21,4;10,1;3,7;
2016-11-30;8;109;943,9;22,8;9;3,2;
2016-12-31;20;375,2;943,5;22,8;9,4;3,1;
2017-01-31;20;181,2;944,3;23,5;10,1;2,7;
2017-02-28;19;301,4;944,1;24,5;9,7;2,9;
2017-03-31;16;142,4;945,4;23,4;7,4;3,1;
2017-04-30;11;169,6;946,6;20,6;8,6;3;
2017-05-31;19;161,8;946,9;21;7,1;2,7;
2017-06-30;10;196,2;949,2;19,8;7,1;3;
2017-07-31;4;5;953;18,5;10;3,4;
2017-08-31;11;145,2;947,5;21,8;9,4;3,9;
2017-09-30;5;30,8;947,6;25,9;10,1;3,9;
2017-10-31;18;394,4;944,2;24,9;null;null;
2017-11-30;16;205,6;942,8;22,3;6,9;null;
2017-12-31;16;291,6;942,5;23,9;7,3;3;
2018-01-31;11;null;null;null;7,4;null;
2018-02-28;null;null;null;null;8,5;null;
2018-03-31;null;null;null;null;6,5;null;
2018-04-30;2;null;null;22,3;7,3;null;
2018-05-31;null;null;null;null;7,6;null;
2018-06-30;null;null;null;null;7,6;null;
2018-07-31;null;null;null;null;8,8;null;
2018-08-31;null;null;null;null;8,7;null;
2018-09-30;null;null;null;null;8;null;
2018-10-31;5;null;null;null;7,5;null;
2018-11-30;13;156,6;943,9;22,8;9;3,4;
2018-12-31;12;93;944,3;24,7;11,6;2,9;
2019-01-31;18;323,2;945,6;25,3;8,3;3,1;
2019-02-28;14;191;943,8;24;8,1;3,2;
2019-03-31;13;180,6;945,9;23;8,2;2,6;
2019-04-30;10;91;945,7;22;6,3;2,1;
2019-05-31;16;358,2;946,7;19,6;7,6;2,7;
2019-06-30;4;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;4;null;null;19,9;9,6;null;
2019-09-30;7;78,2;946,1;23;11,6;3,7;
2019-10-31;10;45,2;944,6;24,9;11,9;3,6;
2019-11-30;9;132,2;943;24,4;8,3;3,2;
2019-12-31;2;null;null;null;7,2;null;

