Nome: LARANJEIRAS DO SUL
Codigo Estacao: B804
Latitude: -25.37138888
Longitude: -52.40083333
Altitude: 889
Situacao: Operante
Data Inicial: 2016-08-06
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;10;null;922,9;14,5;7,4;null;
2016-09-30;10;94,2;923,7;15,2;8,3;1,7;
2016-10-31;12;168,8;920,8;18,3;6,3;1,8;
2016-11-30;11;119,8;920;19,8;6,3;1,7;
2016-12-31;20;270,4;919,5;21,2;6,7;1,8;
2017-01-31;19;125,8;920,2;21,9;5,8;1,6;
2017-02-28;22;144;920,3;22;4,6;1,6;
2017-03-31;19;122,8;921,5;20,8;5,2;1,6;
2017-04-30;13;167;922,5;18;6,9;null;
2017-05-31;16;161;922,5;17,8;6,3;1,5;
2017-06-30;19;187,8;924,6;14,4;6,9;1,7;
2017-07-31;7;5;928,6;12,7;6,2;1,7;
2017-08-31;12;122,2;923,3;16,4;6;1,8;
2017-09-30;2;38,6;923,8;20,4;5,5;1,8;
2017-10-31;18;432,2;920,2;18,6;8,1;null;
2017-11-30;11;232,6;918,8;19,2;6,9;null;
2017-12-31;16;200,6;918,5;21,8;5,8;1,7;
2018-01-31;23;277,4;919,7;21,2;5,2;1,8;
2018-02-28;13;83,6;920,1;20,3;5,4;1,6;
2018-03-31;23;304,2;919,7;21,7;6;1,5;
2018-04-30;10;78;923,9;18,9;4,5;1,4;
2018-05-31;16;105,6;924,4;15,5;5;1,6;
2018-06-30;23;163,2;924,7;14,3;7,5;1,7;
2018-07-31;5;2,6;924,6;15,1;5,7;1,6;
2018-08-31;16;90,6;924,8;13,1;4,9;1,5;
2018-09-30;4;null;null;null;4,7;null;
2018-10-31;6;null;null;null;5,3;null;
2018-11-30;13;149,4;920;20,7;null;null;
2018-12-31;13;109;920,4;21,8;null;null;
2019-01-31;19;169,4;921,7;23;null;null;
2019-02-28;17;215;920;21,2;null;null;
2019-03-31;11;173,4;922,1;20,8;null;null;
2019-04-30;16;141,8;921,6;19,5;null;null;
2019-05-31;20;339,2;922,3;17,6;null;null;
2019-06-30;14;76,6;925,3;16,5;null;null;
2019-07-31;11;33;924,9;14,1;null;null;
2019-08-31;5;6;926;15,6;null;null;
2019-09-30;7;59,2;922,1;19,6;null;null;
2019-10-31;11;183;920,9;21,1;null;null;
2019-11-30;13;196;919,2;21,5;4,5;null;
2019-12-31;13;183,6;919,4;21;5,8;1,6;

