Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2013-12-26
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-12-31;null;null;null;null;null;null;
2014-01-31;1;null;null;null;null;null;
2014-02-28;2;null;null;21,7;13,7;null;
2014-03-31;11;139,8;882,2;20,3;14,3;5,5;
2014-04-30;11;67,2;882,4;19,8;13,8;5,5;
2014-05-31;3;28,8;883,2;18,2;14,5;5,4;
2014-06-30;4;5,2;884,9;17,5;11,4;5,3;
2014-07-31;6;49,4;886,7;16,3;14,5;6;
2014-08-31;4;3,6;885,3;18,3;15,3;5,7;
2014-09-30;1;1,8;883,5;19,9;15,8;6,3;
2014-10-31;7;78,2;883;20,2;16,9;6,7;
2014-11-30;15;207,8;880,6;20,2;14,3;5,4;
2014-12-31;15;136,2;881,4;21,3;13,8;4,7;
2015-01-31;11;131,8;882,6;22,8;12,7;4,9;
2015-02-28;17;259,8;881,9;21,1;11,2;4,5;
2015-03-31;15;217,6;881,8;20,9;13,4;4,7;
2015-04-30;10;42,6;882,2;19,6;13,8;5,6;
2015-05-31;9;73;884,2;17,4;14,1;5,7;
2015-06-30;5;4,4;886,3;17,1;16,2;6;
2015-07-31;3;7,4;885,8;17,6;12,5;5,4;
2015-08-31;0;0;885,3;18,2;12,9;6;
2015-09-30;7;44,2;882,5;21,7;14,3;6,1;
2015-10-31;4;124,6;882,5;22,9;15,6;6,4;
2015-11-30;11;279;880,3;22,5;14,8;4,9;
2015-12-31;23;159,4;882,3;22;11,3;4,5;
2016-01-31;20;365;880,4;20,9;12,4;5;
2016-02-29;10;188;882,5;22,8;13,8;4,3;
2016-03-31;13;110;883,3;21,4;13;5;
2016-04-30;3;25,2;883,2;21,3;11,9;5,1;
2016-05-31;1;,2;884,5;19;13,6;5,1;
2016-06-30;9;57,8;885,7;16,9;12,8;5,2;
2016-07-31;2;,4;885,4;18,1;11,7;5,4;
2016-08-31;1;,4;884,5;18,8;13;5,4;
2016-09-30;4;64,6;883,5;20,3;16,7;6,3;
2016-10-31;9;51,2;881,6;20,7;14,2;6,1;
2016-11-30;20;380,6;880,7;19,7;13,7;5,1;
2016-12-31;20;248,8;881,1;20,9;16,6;4,9;
2017-01-31;11;113,8;881,7;22;11,5;4,9;
2017-02-28;13;186,4;882;20,6;11,2;4,8;
2017-03-31;8;152,8;881,8;21;14,1;5,6;
2017-04-30;7;88;882,8;19,8;13,2;5,9;
2017-05-31;6;15,2;883,6;18;12,4;5,6;
2017-06-30;2;21,6;885,6;17,7;13,7;5,5;
2017-07-31;1;,2;888,8;15;15;6,1;
2017-08-31;1;,2;884,4;18,2;17,5;6,4;
2017-09-30;2;35,6;886;18,3;13,7;6,1;
2017-10-31;10;170,2;882,1;21,2;12,9;6,2;
2017-11-30;16;157,2;880,4;19,7;14;5,3;
2017-12-31;15;296,6;880,1;20,9;10,1;4,5;
2018-01-31;14;156,2;881,2;21,8;9,8;4,4;
2018-02-28;20;324,4;880,6;20,4;11,8;4,6;
2018-03-31;20;348;881;21,4;10,3;4,1;
2018-04-30;5;11;883,7;19,2;15,3;5,7;
2018-05-31;7;18,4;884,6;17,8;13,9;5,6;
2018-06-30;2;,6;885,7;18;12,8;4,8;
2018-07-31;2;3,6;885,6;17,7;9,3;4,8;
2018-08-31;8;49,6;885;17,8;13,6;5,9;
2018-09-30;10;59,4;882,3;19,7;13,8;5,6;
2018-10-31;15;137;881,2;20,7;15,1;5,7;
2018-11-30;17;292;881,5;19,5;17,6;5,6;
2018-12-31;18;283;881,4;21,1;15,1;4,7;
2019-01-31;7;61,4;883,4;22,8;10,3;4,6;
2019-02-28;14;240,4;881,4;22;12;4,5;
2019-03-31;13;142,6;882,4;21,4;15;5,2;
2019-04-30;7;109,4;882,3;21,1;12,7;4,5;
2019-05-31;10;66,8;883,1;19,9;12,3;4,4;
2019-06-30;5;13,2;886,4;17,6;12,4;5,1;
2019-07-31;0;0;885,6;17;12,8;5,3;
2019-08-31;3;9,4;886,6;17,9;17,1;6,4;
2019-09-30;2;29,4;883,8;21;14,7;6,5;
2019-10-31;7;69,4;881,9;21,5;14,9;6;
2019-11-30;18;254,4;880,4;21;15;5,9;
2019-12-31;19;215;881,1;20,9;13,7;4,9;

